ngay,doanhthu
2022-03-01,19.77
2022-03-02,20.13
2022-03-03,21.28
2022-03-04,32.15
2022-03-05,54.41
2022-03-06,42.79
2022-03-07,18.85
2022-03-08,19.92
2022-03-09,20.38
2022-03-10,21.63
2022-03-11,32.6
2022-03-12,54.95
2022-03-13,43.41
2022-03-14,19.56
2022-03-15,20.71
2022-03-16,21.24
2022-03-17,22.56
2022-03-18,33.59
2022-03-19,56.0
2022-03-20,44.51
2022-03-21,20.7
2022-03-22,21.89
2022-03-23,22.46
2022-03-24,23.81
2022-03-25,34.86
2022-03-26,57.28
2022-03-27,45.81
2022-03-28,22.0
2022-03-29,23.19
2022-03-30,23.75
2022-03-31,25.08
2022-04-01,36.12
2022-04-02,58.51
2022-04-03,47.01
2022-04-04,23.17
2022-04-05,24.32
2022-04-06,24.84
2022-04-07,26.13
2022-04-08,37.12
2022-04-09,59.46
2022-04-10,47.9
2022-04-11,24.0
2022-04-12,25.09
2022-04-13,25.55
2022-04-14,26.77
2022-04-15,37.7
2022-04-16,59.98
2022-04-17,48.35
2022-04-18,24.39
2022-04-19,25.42
2022-04-20,25.81
2022-04-21,26.97
2022-04-22,37.84
2022-04-23,60.06
2022-04-24,48.38
2022-04-25,24.36
2022-04-26,25.34
2022-04-27,25.69
2022-04-28,26.81
2022-04-29,37.63
2022-04-30,59.82
2022-05-01,48.11
2022-05-02,24.07
2022-05-03,25.03
2022-05-04,25.35
2022-05-05,26.46
2022-05-06,37.28
2022-05-07,59.46
2022-05-08,47.76
2022-05-09,23.72
2022-05-10,24.69
2022-05-11,25.04
2022-05-12,26.17
2022-05-13,37.02
2022-05-14,59.24
2022-05-15,47.57
2022-05-16,23.58
2022-05-17,24.59
2022-05-18,24.99
2022-05-19,26.17
2022-05-20,37.08
2022-05-21,59.35
2022-05-22,47.75
2022-05-23,23.82
2022-05-24,24.91
2022-05-25,25.37
2022-05-26,26.63
2022-05-27,37.61
2022-05-28,59.96
2022-05-29,48.42
2022-05-30,24.57
2022-05-31,25.73
2022-06-01,26.27
2022-06-02,27.6
2022-06-03,38.65
2022-06-04,61.07
2022-06-05,49.6
2022-06-06,25.82
2022-06-07,27.04
2022-06-08,27.63
2022-06-09,29.02
2022-06-10,40.12
2022-06-11,62.58
2022-06-12,51.16
2022-06-13,27.41
2022-06-14,28.66
2022-06-15,29.29
2022-06-16,30.7
2022-06-17,41.81
2022-06-18,64.29
2022-06-19,52.88
2022-06-20,29.13
2022-06-21,30.38
2022-06-22,30.99
2022-06-23,32.38
2022-06-24,43.47
2022-06-25,65.92
2022-06-26,54.47
2022-06-27,30.69
2022-06-28,31.89
2022-06-29,32.45
2022-06-30,33.79
2022-07-01,44.82
2022-07-02,67.21
2022-07-03,55.69
2022-07-04,31.83
2022-07-05,32.95
2022-07-06,33.43
2022-07-07,34.69
2022-07-08,45.63
2022-07-09,67.92
2022-07-10,56.31
2022-07-11,32.36
2022-07-12,33.39
2022-07-13,33.78
2022-07-14,34.93
2022-07-15,45.78
2022-07-16,67.98
2022-07-17,56.27
2022-07-18,32.22
2022-07-19,33.16
2022-07-20,33.46
2022-07-21,34.52
2022-07-22,45.28
2022-07-23,67.4
2022-07-24,55.61
2022-07-25,31.48
2022-07-26,32.35
2022-07-27,32.58
2022-07-28,33.58
2022-07-29,44.28
2022-07-30,66.34
2022-07-31,54.5
2022-08-01,30.33
2022-08-02,31.16
2022-08-03,31.35
2022-08-04,32.33
2022-08-05,43.01
2022-08-06,65.06
2022-08-07,53.21
2022-08-08,29.04
2022-08-09,29.87
2022-08-10,30.08
2022-08-11,31.07
2022-08-12,41.77
2022-08-13,63.85
2022-08-14,52.04
2022-08-15,27.9
2022-08-16,28.78
2022-08-17,29.04
2022-08-18,30.08
2022-08-19,40.84
2022-08-20,62.98
2022-08-21,51.24
2022-08-22,27.18
2022-08-23,28.13
2022-08-24,28.46
