ngay,doanhthu
2022-03-01,44.95
2022-03-02,44.86
2022-03-03,49.05
2022-03-04,63.53
2022-03-05,88.71
2022-03-06,73.56
2022-03-07,41.07
2022-03-08,43.36
2022-03-09,43.44
2022-03-10,47.81
2022-03-11,62.47
2022-03-12,87.83
2022-03-13,72.86
2022-03-14,40.55
2022-03-15,43.01
2022-03-16,43.26
2022-03-17,47.8
2022-03-18,62.62
2022-03-19,88.14
2022-03-20,73.33
2022-03-21,41.16
2022-03-22,43.76
2022-03-23,44.15
2022-03-24,48.81
2022-03-25,63.75
2022-03-26,89.38
2022-03-27,74.67
2022-03-28,42.59
2022-03-29,45.28
2022-03-30,45.74
2022-03-31,50.47
2022-04-01,65.47
2022-04-02,91.14
2022-04-03,76.47
2022-04-04,44.42
2022-04-05,47.12
2022-04-06,47.6
2022-04-07,52.33
2022-04-08,67.32
2022-04-09,92.98
2022-04-10,78.28
2022-04-11,46.2
2022-04-12,48.86
2022-04-13,49.29
2022-04-14,53.97
2022-04-15,68.9
2022-04-16,94.49
2022-04-17,79.72
2022-04-18,47.56
2022-04-19,50.15
2022-04-20,50.49
2022-04-21,55.08
2022-04-22,69.92
2022-04-23,95.42
2022-04-24,80.56
2022-04-25,48.3
2022-04-26,50.8
2022-04-27,51.04
2022-04-28,55.54
2022-04-29,70.28
2022-04-30,95.69
2022-05-01,80.74
2022-05-02,48.4
2022-05-03,50.81
2022-05-04,50.97
2022-05-05,55.39
2022-05-06,70.07
2022-05-07,95.41
2022-05-08,80.39
2022-05-09,47.99
2022-05-10,50.35
2022-05-11,50.47
2022-05-12,54.85
2022-05-13,69.49
2022-05-14,94.8
2022-05-15,79.76
2022-05-16,47.35
2022-05-17,49.69
2022-05-18,49.81
2022-05-19,54.19
2022-05-20,68.84
2022-05-21,94.17
2022-05-22,79.15
2022-05-23,46.76
2022-05-24,49.13
2022-05-25,49.29
2022-05-26,53.71
2022-05-27,68.4
2022-05-28,93.78
2022-05-29,78.81
2022-05-30,46.48
2022-05-31,48.91
2022-06-01,49.13
2022-06-02,53.61
2022-06-03,68.37
2022-06-04,93.81
2022-06-05,78.91
2022-06-06,46.64
2022-06-07,49.14
2022-06-08,49.42
2022-06-09,53.97
2022-06-10,68.79
2022-06-11,94.29
2022-06-12,79.45
2022-06-13,47.24
2022-06-14,49.79
2022-06-15,50.12
2022-06-16,54.71
2022-06-17,69.57
2022-06-18,95.11
2022-06-19,80.29
2022-06-20,48.11
2022-06-21,50.68
2022-06-22,51.02
2022-06-23,55.61
2022-06-24,70.47
2022-06-25,96.01
2022-06-26,81.18
2022-06-27,48.98
2022-06-28,51.53
2022-06-29,51.84
2022-06-30,56.4
2022-07-01,71.22
2022-07-02,96.7
2022-07-03,81.83
2022-07-04,49.57
2022-07-05,52.05
2022-07-06,52.29
2022-07-07,56.79
2022-07-08,71.53
2022-07-09,96.94
2022-07-10,81.97
2022-07-11,49.63
2022-07-12,52.02
2022-07-13,52.18
2022-07-14,56.58
2022-07-15,71.23
2022-07-16,96.54
2022-07-17,81.48
2022-07-18,49.04
2022-07-19,51.35
2022-07-20,51.41
2022-07-21,55.72
2022-07-22,70.28
2022-07-23,95.51
2022-07-24,80.37
2022-07-25,47.85
2022-07-26,50.08
2022-07-27,50.07
2022-07-28,54.32
2022-07-29,68.83
2022-07-30,94.0
2022-07-31,78.82
2022-08-01,46.26
2022-08-02,48.46
2022-08-03,48.43
2022-08-04,52.65
2022-08-05,67.15
2022-08-06,92.32
2022-08-07,77.15
2022-08-08,44.6
2022-08-09,46.82
2022-08-10,46.81
2022-08-11,51.08
2022-08-12,65.62
2022-08-13,90.84
2022-08-14,75.72
2022-08-15,43.24
2022-08-16,45.54
2022-08-17,45.61
2022-08-18,49.96
2022-08-19,64.59
2022-08-20,89.92
2022-08-21,74.9
2022-08-22,42.53
2022-08-23,44.94
2022-08-24,45.13
2022-08-25,49.6
2022-08-26,64.35
2022-08-27,89.8
2022-08-28,74.92
2022-08-29,42.67
2022-08-30,45.21
2022-08-31,45.53
2022-09-01,50.13
2022-09-02,65.01
2022-09-03,90.59
2022-09-04,75.82
2022-09-05,43.7
2022-09-06,46.35
2022-09-07,46.79
2022-09-08,51.5
2022-09-09,66.48
2022-09-10,92.15
2022-09-11,77.48
2022-09-12,45.44
2022-09-13,48.17
2022-09-14,48.68
2022-09-15,53.45
2022-09-16,68.48
2022-09-17,94.2
2022-09-18,79.57
2022-09-19,47.56
2022-09-20,50.3
2022-09-21,50.81
2022-09-22,55.58
2022-09-23,70.61
2022-09-24,96.31
2022-09-25,81.64
2022-09-26,49.59
2022-09-27,52.29
2022-09-28,52.75
2022-09-29,57.45
2022-09-30,72.4
2022-10-01,98.01
2022-10-02,83.25
2022-10-03,51.11
2022-10-04,53.7
2022-10-05,54.04
2022-10-06,58.62
2022-10-07,73.45
2022-10-08,98.93
2022-10-09,84.03
2022-10-10,51.75
2022-10-11,54.19
2022-10-12,54.39
2022-10-13,58.82
2022-10-14,73.5
2022-10-15,98.83
2022-10-16,83.79
2022-10-17,51.35
2022-10-18,53.65
2022-10-19,53.7
2022-10-20,57.99
2022-10-21,72.52
2022-10-22,97.72
2022-10-23,82.54
2022-10-24,49.98
2022-10-25,52.16
2022-10-26,52.09
2022-10-27,56.28
2022-10-28,70.72
2022-10-29,95.82
2022-10-30,80.57
2022-10-31,47.93
2022-11-01,50.05
2022-11-02,49.94
2022-11-03,54.08
2022-11-04,68.49
2022-11-05,93.57
2022-11-06,78.31
2022-11-07,45.68
2022-11-08,47.81
2022-11-09,47.72
2022-11-10,51.9
2022-11-11,66.36
2022-11-12,91.5
2022-11-13,76.31
2022-11-14,43.76
2022-11-15,45.98
2022-11-16,46.0
2022-11-17,50.29
2022-11-18,64.87
2022-11-19,90.15
2022-11-20,75.09
2022-11-21,42.69
2022-11-22,45.07
2022-11-23,45.24
2022-11-24,49.7
2022-11-25,64.46
2022-11-26,89.91
2022-11-27,75.04
2022-11-28,42.82
2022-11-29,45.39
2022-11-30,45.75
2022-12-01,50.41
2022-12-02,65.35
2022-12-03,91.0
2022-12-04,76.31
2022-12-05,44.29
2022-12-06,47.04
2022-12-07,47.58
2022-12-08,52.41
2022-12-09,67.53
2022-12-10,93.34
2022-12-11,78.81
2022-12-12,46.93
2022-12-13,49.83
2022-12-14,50.51
2022-12-15,55.46
2022-12-16,70.69
2022-12-17,96.6
2022-12-18,82.17
2022-12-19,50.37
2022-12-20,53.33
2022-12-21,54.07
2022-12-22,59.06
2022-12-23,74.32
2022-12-24,100.25
2022-12-25,85.83
2022-12-26,54.02
