ngay,doanhthu
2022-03-01,49.42
2022-03-02,51.62
2022-03-03,55.42
2022-03-04,74.91
2022-03-05,101.02
2022-03-06,71.77
2022-03-07,44.63
2022-03-08,50.08
2022-03-09,52.43
2022-03-10,56.38
2022-03-11,76.0
2022-03-12,102.24
2022-03-13,73.11
2022-03-14,46.09
2022-03-15,51.64
2022-03-16,54.09
2022-03-17,58.12
2022-03-18,77.82
2022-03-19,104.13
2022-03-20,75.06
2022-03-21,48.09
2022-03-22,53.68
2022-03-23,56.16
2022-03-24,60.21
2022-03-25,79.93
2022-03-26,106.24
2022-03-27,77.16
2022-03-28,50.17
2022-03-29,55.74
2022-03-30,58.19
2022-03-31,62.2
2022-04-01,81.87
2022-04-02,108.13
2022-04-03,78.99
2022-04-04,51.94
2022-04-05,57.44
2022-04-06,59.81
2022-04-07,63.75
2022-04-08,83.33
2022-04-09,109.5
2022-04-10,80.27
2022-04-11,53.13
2022-04-12,58.53
2022-04-13,60.81
2022-04-14,64.64
2022-04-15,84.13
2022-04-16,110.2
2022-04-17,80.88
2022-04-18,53.64
2022-04-19,58.95
2022-04-20,61.13
2022-04-21,64.88
2022-04-22,84.29
2022-04-23,110.28
2022-04-24,80.88
2022-04-25,53.57
2022-04-26,58.82
2022-04-27,60.94
2022-04-28,64.64
2022-04-29,83.99
2022-04-30,109.94
2022-05-01,80.51
2022-05-02,53.17
2022-05-03,58.4
2022-05-04,60.51
2022-05-05,64.19
2022-05-06,83.55
2022-05-07,109.5
2022-05-08,80.08
2022-05-09,52.76
2022-05-10,58.01
2022-05-11,60.15
2022-05-12,63.87
2022-05-13,83.27
2022-05-14,109.27
2022-05-15,79.91
2022-05-16,52.65
2022-05-17,57.96
2022-05-18,60.17
2022-05-19,63.96
2022-05-20,83.43
2022-05-21,109.51
2022-05-22,80.22
2022-05-23,53.04
2022-05-24,58.44
2022-05-25,60.73
2022-05-26,64.61
2022-05-27,84.17
2022-05-28,110.33
2022-05-29,81.12
2022-05-30,54.03
2022-05-31,59.5
2022-06-01,61.87
2022-06-02,65.82
2022-06-03,85.45
2022-06-04,111.68
2022-06-05,82.54
2022-06-06,55.5
2022-06-07,61.02
2022-06-08,63.44
2022-06-09,67.43
2022-06-10,87.09
2022-06-11,113.35
2022-06-12,84.23
2022-06-13,57.21
2022-06-14,62.75
2022-06-15,65.16
2022-06-16,69.15
2022-06-17,88.8
2022-06-18,115.05
2022-06-19,85.9
2022-06-20,58.84
2022-06-21,64.34
2022-06-22,66.71
2022-06-23,70.65
2022-06-24,90.24
2022-06-25,116.42
2022-06-26,87.2
2022-06-27,60.07
2022-06-28,65.49
2022-06-29,67.77
2022-06-30,71.62
2022-07-01,91.11
2022-07-02,117.19
2022-07-03,87.87
2022-07-04,60.63
2022-07-05,65.94
2022-07-06,68.12
2022-07-07,71.86
2022-07-08,91.24
2022-07-09,117.21
2022-07-10,87.78
2022-07-11,60.43
2022-07-12,65.63
2022-07-13,67.7
2022-07-14,71.33
2022-07-15,90.62
2022-07-16,116.49
2022-07-17,86.96
2022-07-18,59.52
2022-07-19,64.64
2022-07-20,66.63
2022-07-21,70.19
2022-07-22,89.4
2022-07-23,115.21
2022-07-24,85.63
2022-07-25,58.15
2022-07-26,63.22
2022-07-27,65.18
2022-07-28,68.71
2022-07-29,87.91
2022-07-30,113.71
2022-07-31,84.13
2022-08-01,56.65
2022-08-02,61.74
2022-08-03,63.71
2022-08-04,67.28
2022-08-05,86.51
2022-08-06,112.36
2022-08-07,82.83
2022-08-08,55.41
2022-08-09,60.57
2022-08-10,62.62
2022-08-11,66.26
2022-08-12,85.58
2022-08-13,111.52
2022-08-14,82.09
2022-08-15,54.77
2022-08-16,60.04
2022-08-17,62.2
2022-08-18,65.96
2022-08-19,85.4
2022-08-20,111.45
2022-08-21,82.14
2022-08-22,54.95
2022-08-23,60.34
2022-08-24,62.62
2022-08-25,66.5
2022-08-26,86.06
2022-08-27,112.24
2022-08-28,83.05
2022-08-29,55.97
2022-08-30,61.47
2022-08-31,63.86
2022-09-01,67.85
2022-09-02,87.51
2022-09-03,113.78
2022-09-04,84.68
2022-09-05,57.68
2022-09-06,63.26
2022-09-07,65.72
2022-09-08,69.77
2022-09-09,89.49
2022-09-10,115.81
2022-09-11,86.75
2022-09-12,59.78
2022-09-13,65.38
2022-09-14,67.86
2022-09-15,71.92
2022-09-16,91.63
2022-09-17,117.94
2022-09-18,88.87
2022-09-19,61.88
2022-09-20,67.44
2022-09-21,69.88
2022-09-22,73.89
2022-09-23,93.55
2022-09-24,119.79
2022-09-25,90.64
2022-09-26,63.58
2022-09-27,69.06
2022-09-28,71.41
2022-09-29,75.32
2022-09-30,94.88
2022-10-01,121.02
2022-10-02,91.77
2022-10-03,64.59
2022-10-04,69.96
2022-10-05,72.2
2022-10-06,75.99
2022-10-07,95.43
2022-10-08,121.45
2022-10-09,92.08
2022-10-10,64.78
2022-10-11,70.03
2022-10-12,72.15
2022-10-13,75.83
2022-10-14,95.16
2022-10-15,121.08
2022-10-16,91.6
2022-10-17,64.21
2022-10-18,69.37
2022-10-19,71.4
2022-10-20,75.0
2022-10-21,94.25
2022-10-22,120.1
2022-10-23,90.56
2022-10-24,63.11
2022-10-25,68.22
2022-10-26,70.21
2022-10-27,73.77
2022-10-28,93.0
2022-10-29,118.84
2022-10-30,89.29
2022-10-31,61.84
2022-11-01,66.96
2022-11-02,68.96
2022-11-03,72.55
2022-11-04,91.82
2022-11-05,117.69
2022-11-06,88.19
2022-11-07,60.8
2022-11-08,65.98
2022-11-09,68.05
2022-11-10,71.72
2022-11-11,91.07
2022-11-12,117.03
2022-11-13,87.62
2022-11-14,60.32
2022-11-15,65.6
2022-11-16,67.79
2022-11-17,71.56
2022-11-18,91.02
2022-11-19,117.09
2022-11-20,87.79
2022-11-21,60.61
2022-11-22,66.01
2022-11-23,68.31
2022-11-24,72.19
2022-11-25,91.76
2022-11-26,117.94
2022-11-27,88.75
2022-11-28,61.67
2022-11-29,67.17
2022-11-30,69.56
2022-12-01,73.53
2022-12-02,93.18
2022-12-03,119.43
2022-12-04,90.31
2022-12-05,63.29
2022-12-06,68.84
2022-12-07,71.27
2022-12-08,75.28
2022-12-09,94.95
2022-12-10,121.23
2022-12-11,92.11
2022-12-12,65.09
2022-12-13,70.63
2022-12-14,73.04
2022-12-15,77.02
2022-12-16,96.66
2022-12-17,122.88
2022-12-18,93.7
2022-12-19,66.61
2022-12-20,72.07
2022-12-21,74.39
2022-12-22,78.27
2022-12-23,97.8
2022-12-24,123.91
2022-12-25,94.61
2022-12-26,67.39
2022-12-27,72.7
2022-12-28,74.88
2022-12-29,78.61
2022-12-30,97.98
2022-12-31,123.92
