ngay,doanhthu
2022-03-01,38.71
2022-03-02,37.21
2022-03-03,42.36
2022-03-04,67.29
2022-03-05,100.95
2022-03-06,74.83
2022-03-07,36.58
2022-03-08,41.61
2022-03-09,40.3
2022-03-10,45.64
2022-03-11,70.73
2022-03-12,104.54
2022-03-13,78.55
2022-03-14,40.41
2022-03-15,45.53
2022-03-16,44.3
2022-03-17,49.69
2022-03-18,74.82
2022-03-19,108.65
2022-03-20,82.66
2022-03-21,44.51
2022-03-22,49.6
2022-03-23,48.31
2022-03-24,53.63
2022-03-25,78.68
2022-03-26,112.4
2022-03-27,86.3
2022-03-28,48.01
2022-03-29,52.96
2022-03-30,51.51
2022-03-31,56.66
2022-04-01,81.52
2022-04-02,115.05
2022-04-03,88.74
2022-04-04,50.24
2022-04-05,54.96
2022-04-06,53.29
2022-04-07,58.21
2022-04-08,82.83
2022-04-09,116.13
2022-04-10,89.58
2022-04-11,50.84
2022-04-12,55.33
2022-04-13,53.42
2022-04-14,58.1
2022-04-15,82.5
2022-04-16,115.57
2022-04-17,88.8
2022-04-18,49.85
2022-04-19,54.14
2022-04-20,52.03
2022-04-21,56.54
2022-04-22,80.76
2022-04-23,113.67
2022-04-24,86.76
2022-04-25,47.67
2022-04-26,51.84
2022-04-27,49.64
2022-04-28,54.05
2022-04-29,78.2
2022-04-30,111.05
2022-05-01,84.09
2022-05-02,44.98
2022-05-03,49.13
2022-05-04,46.93
2022-05-05,51.36
2022-05-06,75.54
2022-05-07,108.44
2022-05-08,81.55
2022-05-09,42.52
2022-05-10,46.76
2022-05-11,44.67
2022-05-12,49.22
2022-05-13,73.53
2022-05-14,106.58
2022-05-15,79.84
2022-05-16,40.97
2022-05-17,45.39
2022-05-18,43.47
2022-05-19,48.21
2022-05-20,72.72
2022-05-21,105.96
2022-05-22,79.43
2022-05-23,40.77
2022-05-24,45.39
2022-05-25,43.69
2022-05-26,48.64
2022-05-27,73.35
2022-05-28,106.8
2022-05-29,80.47
2022-05-30,42.01
2022-05-31,46.83
2022-06-01,45.31
2022-06-02,50.44
2022-06-03,75.33
2022-06-04,108.94
2022-06-05,82.76
2022-06-06,44.44
2022-06-07,49.39
2022-06-08,47.99
2022-06-09,53.23
2022-06-10,78.21
2022-06-11,111.9
2022-06-12,85.79
2022-06-13,47.52
2022-06-14,52.51
2022-06-15,51.13
2022-06-16,56.37
2022-06-17,81.35
2022-06-18,115.02
2022-06-19,88.87
2022-06-20,50.55
2022-06-21,55.47
2022-06-22,54.02
2022-06-23,59.17
2022-06-24,84.04
2022-06-25,117.59
2022-06-26,91.31
2022-06-27,52.85
2022-06-28,57.63
2022-06-29,56.01
2022-06-30,60.99
2022-07-01,85.68
2022-07-02,119.05
2022-07-03,92.58
2022-07-04,53.92
2022-07-05,58.5
2022-07-06,56.68
2022-07-07,61.45
2022-07-08,85.94
2022-07-09,119.1
2022-07-10,92.42
2022-07-11,53.56
2022-07-12,57.93
2022-07-13,55.91
2022-07-14,60.49
2022-07-15,84.79
2022-07-16,117.77
2022-07-17,90.92
2022-07-18,51.9
2022-07-19,56.11
2022-07-20,53.95
2022-07-21,58.4
2022-07-22,82.57
2022-07-23,115.45
2022-07-24,88.5
2022-07-25,49.39
2022-07-26,53.54
2022-07-27,51.32
2022-07-28,55.72
2022-07-29,79.87
2022-07-30,112.73
2022-07-31,85.78
2022-08-01,46.69
2022-08-02,50.87
2022-08-03,48.7
2022-08-04,53.16
2022-08-05,77.39
2022-08-06,110.33
2022-08-07,83.49
2022-08-08,44.51
2022-08-09,48.81
2022-08-10,46.77
2022-08-11,51.39
2022-08-12,75.77
2022-08-13,108.88
2022-08-14,82.21
2022-08-15,43.42
2022-08-16,47.91
2022-08-17,46.07
2022-08-18,50.88
2022-08-19,75.47
2022-08-20,108.79
2022-08-21,82.33
2022-08-22,43.74
2022-08-23,48.44
2022-08-24,46.8
2022-08-25,51.82
2022-08-26,76.61
2022-08-27,110.12
2022-08-28,83.85
2022-08-29,45.45
2022-08-30,50.32
2022-08-31,48.86
2022-09-01,54.03
2022-09-02,78.96
2022-09-03,112.62
2022-09-04,86.47
2022-09-05,48.18
2022-09-06,53.16
2022-09-07,51.78
2022-09-08,57.02
2022-09-09,82.02
2022-09-10,115.71
2022-09-11,89.6
2022-09-12,51.32
2022-09-13,56.29
2022-09-14,54.89
2022-09-15,60.11
2022-09-16,85.05
2022-09-17,118.69
2022-09-18,92.49
2022-09-19,54.12
2022-09-20,58.99
2022-09-21,57.47
2022-09-22,62.55
2022-09-23,87.35
2022-09-24,120.83
2022-09-25,94.47
2022-09-26,55.92
2022-09-27,60.6
2022-09-28,58.89
2022-09-29,63.76
2022-09-30,88.35
2022-10-01,121.61
2022-10-02,95.03
2022-10-03,56.25
2022-10-04,60.71
2022-10-05,58.77
2022-10-06,63.42
2022-10-07,87.78
2022-10-08,120.81
2022-10-09,94.01
2022-10-10,55.02
2022-10-11,59.26
2022-10-12,57.11
2022-10-13,61.56
2022-10-14,85.73
2022-10-15,118.59
2022-10-16,91.61
2022-10-17,52.46
2022-10-18,56.55
2022-10-19,54.27
2022-10-20,58.6
2022-10-21,82.67
2022-10-22,115.43
2022-10-23,88.38
2022-10-24,49.16
2022-10-25,53.21
2022-10-26,50.9
2022-10-27,55.22
2022-10-28,79.29
2022-10-29,112.08
2022-10-30,85.06
2022-10-31,45.91
2022-11-01,50.03
2022-11-02,47.81
2022-11-03,52.23
2022-11-04,76.42
2022-11-05,109.34
2022-11-06,82.48
2022-11-07,43.48
2022-11-08,47.78
2022-11-09,45.75
2022-11-10,50.37
2022-11-11,74.77
2022-11-12,107.92
2022-11-13,81.28
2022-11-14,42.53
2022-11-15,47.07
2022-11-16,45.29
2022-11-17,50.17
2022-11-18,74.82
2022-11-19,108.22
2022-11-20,81.85
2022-11-21,43.35
2022-11-22,48.16
2022-11-23,46.63
2022-11-24,51.76
2022-11-25,76.66
2022-11-26,110.3
2022-11-27,84.15
2022-11-28,45.88
2022-11-29,50.89
2022-11-30,49.57
2022-12-01,54.89
2022-12-02,79.96
2022-12-03,113.77
2022-12-04,87.77
2022-12-05,49.63
2022-12-06,54.76
2022-12-07,53.53
2022-12-08,58.93
2022-12-09,84.08
2022-12-10,117.92
2022-12-11,91.95
2022-12-12,53.82
2022-12-13,58.94
2022-12-14,57.68
2022-12-15,63.03
2022-12-16,88.11
2022-12-17,121.87
2022-12-18,95.79
2022-12-19,57.53
2022-12-20,62.51
2022-12-21,61.09
2022-12-22,66.27
2022-12-23,91.15
2022-12-24,124.7
2022-12-25,98.4
2022-12-26,59.91
2022-12-27,64.64
2022-12-28,62.96
2022-12-29,67.86
2022-12-30,92.47
2022-12-31,125.73
