ngay,doanhthu
2022-03-01,18.49
2022-03-02,18.33
2022-03-03,18.66
2022-03-04,26.06
2022-03-05,32.55
2022-03-06,24.95
2022-03-07,16.48
2022-03-08,17.98
2022-03-09,18.01
2022-03-10,18.53
2022-03-11,26.12
2022-03-12,32.82
2022-03-13,25.41
2022-03-14,17.13
2022-03-15,18.82
2022-03-16,19.03
2022-03-17,19.72
2022-03-18,27.48
2022-03-19,34.31
2022-03-20,27.03
2022-03-21,18.86
2022-03-22,20.64
2022-03-23,20.92
2022-03-24,21.65
2022-03-25,29.43
2022-03-26,36.26
2022-03-27,28.95
2022-03-28,20.74
2022-03-29,22.44
2022-03-30,22.62
2022-03-31,23.24
2022-04-01,30.88
2022-04-02,37.56
2022-04-03,30.08
2022-04-04,21.68
2022-04-05,23.2
2022-04-06,23.17
2022-04-07,23.59
2022-04-08,31.01
2022-04-09,37.48
2022-04-10,29.79
2022-04-11,21.18
2022-04-12,22.5
2022-04-13,22.29
2022-04-14,22.52
2022-04-15,29.79
2022-04-16,36.11
2022-04-17,28.3
2022-04-18,19.59
2022-04-19,20.82
2022-04-20,20.55
2022-04-21,20.75
2022-04-22,28.0
2022-04-23,34.34
2022-04-24,26.56
2022-04-25,17.9
2022-04-26,19.21
2022-04-27,19.03
2022-04-28,19.35
2022-04-29,26.73
2022-04-30,33.21
2022-05-01,25.58
2022-05-02,17.09
2022-05-03,18.58
2022-05-04,18.58
2022-05-05,19.08
2022-05-06,26.65
2022-05-07,33.31
2022-05-08,25.86
2022-05-09,17.55
2022-05-10,19.2
2022-05-11,19.36
2022-05-12,20.0
2022-05-13,27.69
2022-05-14,34.47
2022-05-15,27.12
2022-05-16,18.89
2022-05-17,20.6
2022-05-18,20.81
2022-05-19,21.49
2022-05-20,29.2
2022-05-21,35.97
2022-05-22,28.61
2022-05-23,20.35
2022-05-24,22.02
2022-05-25,22.18
2022-05-26,22.79
2022-05-27,30.42
2022-05-28,37.12
2022-05-29,29.68
2022-05-30,21.33
2022-05-31,22.91
2022-06-01,22.97
2022-06-02,23.49
2022-06-03,31.04
2022-06-04,37.65
2022-06-05,30.13
2022-06-06,21.71
2022-06-07,23.22
2022-06-08,23.23
2022-06-09,23.7
