ngay,doanhthu
2022-03-01,18.71
2022-03-02,18.67
2022-03-03,20.34
2022-03-04,27.51
2022-03-05,33.31
2022-03-06,26.21
2022-03-07,18.06
2022-03-08,18.97
2022-03-09,18.91
2022-03-10,20.57
2022-03-11,27.73
2022-03-12,33.54
2022-03-13,26.46
2022-03-14,18.34
2022-03-15,19.29
2022-03-16,19.27
2022-03-17,20.99
2022-03-18,28.21
2022-03-19,34.08
2022-03-20,27.07
2022-03-21,19.02
2022-03-22,20.04
2022-03-23,20.08
2022-03-24,21.86
2022-03-25,29.14
2022-03-26,35.06
2022-03-27,28.08
2022-03-28,20.06
2022-03-29,21.1
2022-03-30,21.15
2022-03-31,22.92
2022-04-01,30.18
2022-04-02,36.07
2022-04-03,29.04
2022-04-04,20.97
2022-04-05,21.93
2022-04-06,21.9
2022-04-07,23.57
2022-04-08,30.73
2022-04-09,36.51
2022-04-10,29.37
2022-04-11,21.17
2022-04-12,22.02
2022-04-13,21.87
2022-04-14,23.43
2022-04-15,30.47
2022-04-16,36.15
2022-04-17,28.92
2022-04-18,20.64
2022-04-19,21.41
2022-04-20,21.21
2022-04-21,22.73
2022-04-22,29.75
2022-04-23,35.42
2022-04-24,28.2
2022-04-25,19.94
2022-04-26,20.76
2022-04-27,20.62
2022-04-28,22.21
2022-04-29,29.33
2022-04-30,35.1
2022-05-01,27.99
2022-05-02,19.86
2022-05-03,20.81
2022-05-04,20.79
2022-05-05,22.52
2022-05-06,29.77
2022-05-07,35.68
2022-05-08,28.7
2022-05-09,20.69
2022-05-10,21.75
2022-05-11,21.84
2022-05-12,23.66
2022-05-13,30.98
2022-05-14,36.94
2022-05-15,30.0
2022-05-16,22.02
2022-05-17,23.08
2022-05-18,23.16
2022-05-19,24.95
2022-05-20,32.22
2022-05-21,38.11
2022-05-22,31.09
2022-05-23,23.01
2022-05-24,23.97
2022-05-25,23.92
2022-05-26,25.58
2022-05-27,32.73
2022-05-28,38.49
2022-05-29,31.33
2022-05-30,23.11
2022-05-31,23.94
2022-06-01,23.77
2022-06-02,25.32
2022-06-03,32.35
2022-06-04,38.02
2022-06-05,30.78
2022-06-06,22.51
2022-06-07,23.29
2022-06-08,23.09
2022-06-09,24.63
2022-06-10,31.67
2022-06-11,37.36
2022-06-12,30.17
2022-06-13,21.95
2022-06-14,22.8
2022-06-15,22.69
2022-06-16,24.33
2022-06-17,31.48
2022-06-18,37.29
2022-06-19,30.21
2022-06-20,22.11
2022-06-21,23.09
2022-06-22,23.1
2022-06-23,24.84
2022-06-24,32.1
2022-06-25,38.0
2022-06-26,31.01
2022-06-27,22.99
2022-06-28,24.02
2022-06-29,24.07
2022-06-30,25.83
2022-07-01,33.1
2022-07-02,38.99
2022-07-03,31.96
2022-07-04,23.88
2022-07-05,24.85
2022-07-06,24.81
2022-07-07,26.48
2022-07-08,33.63
2022-07-09,39.39
2022-07-10,32.24
2022-07-11,24.02
2022-07-12,24.83
2022-07-13,24.65
2022-07-14,26.17
2022-07-15,33.18
2022-07-16,38.8
2022-07-17,31.52
2022-07-18,23.18
2022-07-19,23.89
2022-07-20,23.62
2022-07-21,25.07
2022-07-22,32.02
2022-07-23,37.61
2022-07-24,30.31
2022-07-25,21.97
2022-07-26,22.71
2022-07-27,22.48
2022-07-28,24.0
2022-07-29,31.03
2022-07-30,36.72
2022-07-31,29.54
2022-08-01,21.33
2022-08-02,22.21
2022-08-03,22.14
2022-08-04,23.81
2022-08-05,31.01
2022-08-06,36.87
2022-08-07,29.84
2022-08-08,21.8
2022-08-09,22.84
2022-08-10,22.91
2022-08-11,24.72
2022-08-12,32.04
2022-08-13,38.0
2022-08-14,31.07
2022-08-15,23.11
2022-08-16,24.2
