ngay,doanhthu
2022-03-01,64.75
2022-03-02,66.67
2022-03-03,71.16
2022-03-04,97.06
2022-03-05,94.85
2022-03-06,68.86
2022-03-07,60.62
2022-03-08,66.14
2022-03-09,68.13
2022-03-10,72.69
2022-03-11,98.65
2022-03-12,96.47
2022-03-13,70.51
2022-03-14,62.29
2022-03-15,67.81
2022-03-16,69.8
2022-03-17,74.34
2022-03-18,100.26
2022-03-19,98.05
2022-03-20,72.04
2022-03-21,63.75
2022-03-22,69.2
2022-03-23,71.1
2022-03-24,75.55
2022-03-25,101.38
2022-03-26,99.06
2022-03-27,72.93
2022-03-28,64.53
2022-03-29,69.85
2022-03-30,71.63
2022-03-31,75.94
2022-04-01,101.63
2022-04-02,99.17
2022-04-03,72.91
2022-04-04,64.37
2022-04-05,69.55
2022-04-06,71.19
2022-04-07,75.36
2022-04-08,100.92
2022-04-09,98.33
2022-04-10,71.94
2022-04-11,63.28
2022-04-12,68.35
2022-04-13,69.88
2022-04-14,73.96
2022-04-15,99.42
2022-04-16,96.75
2022-04-17,70.29
2022-04-18,61.56
2022-04-19,66.57
2022-04-20,68.06
2022-04-21,72.1
2022-04-22,97.54
2022-04-23,94.86
2022-04-24,68.4
2022-04-25,59.68
2022-04-26,64.72
2022-04-27,66.24
2022-04-28,70.33
2022-04-29,95.84
2022-04-30,93.22
2022-05-01,66.84
2022-05-02,58.22
2022-05-03,63.37
2022-05-04,65.0
2022-05-05,69.22
2022-05-06,94.85
2022-05-07,92.38
2022-05-08,66.15
2022-05-09,57.69
2022-05-10,63.0
2022-05-11,64.81
2022-05-12,69.2
2022-05-13,95.02
2022-05-14,92.74
2022-05-15,66.7
2022-05-16,58.43
2022-05-17,63.94
2022-05-18,65.94
2022-05-19,70.53
2022-05-20,96.54
2022-05-21,94.45
2022-05-22,68.6
2022-05-23,60.52
2022-05-24,66.2
2022-05-25,68.38
2022-05-26,73.14
2022-05-27,99.32
2022-05-28,97.38
2022-05-29,71.68
2022-05-30,63.74
2022-05-31,69.55
2022-06-01,71.85
2022-06-02,76.72
2022-06-03,102.99
2022-06-04,101.15
2022-06-05,75.52
2022-06-06,67.64
2022-06-07,73.5
2022-06-08,75.83
2022-06-09,80.72
2022-06-10,107.01
2022-06-11,105.16
2022-06-12,79.51
2022-06-13,71.6
2022-06-14,77.42
2022-06-15,79.7
2022-06-16,84.52
2022-06-17,110.72
2022-06-18,108.78
2022-06-19,83.03
2022-06-20,75.0
2022-06-21,80.69
2022-06-22,82.83
2022-06-23,87.51
2022-06-24,113.56
2022-06-25,111.45
2022-06-26,85.53
2022-06-27,77.33
2022-06-28,82.84
2022-06-29,84.79
2022-06-30,89.27
2022-07-01,115.12
2022-07-02,112.82
2022-07-03,86.7
2022-07-04,78.29
2022-07-05,83.6
2022-07-06,85.35
2022-07-07,89.64
2022-07-08,115.29
2022-07-09,112.79
2022-07-10,86.48
2022-07-11,77.89
2022-07-12,83.03
2022-07-13,84.61
2022-07-14,88.73
2022-07-15,114.23
2022-07-16,111.59
2022-07-17,85.14
2022-07-18,76.42
2022-07-19,81.44
2022-07-20,82.91
2022-07-21,86.94
2022-07-22,112.36
2022-07-23,109.64
2022-07-24,83.14
2022-07-25,74.38
2022-07-26,79.36
2022-07-27,80.81
2022-07-28,84.83
2022-07-29,110.25
2022-07-30,107.55
2022-07-31,81.08
2022-08-01,72.35
2022-08-02,77.38
2022-08-03,78.9
2022-08-04,83.0
2022-08-05,108.5
2022-08-06,105.9
2022-08-07,79.53
2022-08-08,70.92
2022-08-09,76.07
2022-08-10,77.72
2022-08-11,81.95
2022-08-12,107.6
2022-08-13,105.14
2022-08-14,78.93
2022-08-15,70.47
2022-08-16,75.79
2022-08-17,77.6
2022-08-18,82.0
2022-08-19,107.81
2022-08-20,105.52
2022-08-21,79.47
