ngay,doanhthu
2022-03-01,65.67
2022-03-02,63.4
2022-03-03,68.97
2022-03-04,90.79
2022-03-05,106.08
2022-03-06,68.6
2022-03-07,60.82
2022-03-08,65.44
2022-03-09,63.2
2022-03-10,68.8
2022-03-11,90.64
2022-03-12,105.96
2022-03-13,68.5
2022-03-14,60.74
2022-03-15,65.39
2022-03-16,63.18
2022-03-17,68.8
2022-03-18,90.67
2022-03-19,106.01
2022-03-20,68.58
2022-03-21,60.85
2022-03-22,65.52
2022-03-23,63.33
2022-03-24,68.98
2022-03-25,90.87
2022-03-26,106.24
2022-03-27,68.83
2022-03-28,61.12
2022-03-29,65.82
2022-03-30,63.65
2022-03-31,69.32
2022-04-01,91.24
2022-04-02,106.62
2022-04-03,69.23
2022-04-04,61.54
2022-04-05,66.26
2022-04-06,64.11
2022-04-07,69.8
2022-04-08,91.73
2022-04-09,107.14
2022-04-10,69.76
2022-04-11,62.09
2022-04-12,66.83
2022-04-13,64.69
2022-04-14,70.39
2022-04-15,92.34
2022-04-16,107.76
2022-04-17,70.4
2022-04-18,62.74
2022-04-19,67.48
2022-04-20,65.36
2022-04-21,71.07
2022-04-22,93.03
2022-04-23,108.45
2022-04-24,71.1
2022-04-25,63.45
2022-04-26,68.2
2022-04-27,66.08
2022-04-28,71.79
2022-04-29,93.76
2022-04-30,109.19
2022-05-01,71.84
2022-05-02,64.19
2022-05-03,68.94
2022-05-04,66.82
2022-05-05,72.54
2022-05-06,94.5
2022-05-07,109.93
2022-05-08,72.58
2022-05-09,64.93
2022-05-10,69.68
2022-05-11,67.55
2022-05-12,73.27
2022-05-13,95.22
2022-05-14,110.65
2022-05-15,73.29
2022-05-16,65.63
2022-05-17,70.37
2022-05-18,68.24
2022-05-19,73.95
2022-05-20,95.9
2022-05-21,111.31
2022-05-22,73.95
2022-05-23,66.28
2022-05-24,71.01
2022-05-25,68.87
2022-05-26,74.56
2022-05-27,96.5
2022-05-28,111.9
2022-05-29,74.52
2022-05-30,66.84
2022-05-31,71.56
2022-06-01,69.4
2022-06-02,75.08
2022-06-03,97.01
2022-06-04,112.39
2022-06-05,75.0
2022-06-06,67.31
2022-06-07,72.01
2022-06-08,69.84
2022-06-09,75.51
2022-06-10,97.41
2022-06-11,112.78
2022-06-12,75.38
2022-06-13,67.66
2022-06-14,72.35
2022-06-15,70.17
2022-06-16,75.82
2022-06-17,97.71
2022-06-18,113.07
2022-06-19,75.64
2022-06-20,67.92
2022-06-21,72.59
2022-06-22,70.39
2022-06-23,76.02
2022-06-24,97.9
2022-06-25,113.24
2022-06-26,75.8
2022-06-27,68.06
2022-06-28,72.72
2022-06-29,70.51
2022-06-30,76.13
2022-07-01,98.0
2022-07-02,113.32
2022-07-03,75.87
2022-07-04,68.12
2022-07-05,72.77
2022-07-06,70.54
2022-07-07,76.15
2022-07-08,98.01
2022-07-09,113.32
2022-07-10,75.86
2022-07-11,68.1
2022-07-12,72.74
2022-07-13,70.51
2022-07-14,76.11
2022-07-15,97.96
2022-07-16,113.27
2022-07-17,75.8
2022-07-18,68.03
2022-07-19,72.66
2022-07-20,70.42
2022-07-21,76.02
2022-07-22,97.87
2022-07-23,113.17
2022-07-24,75.7
2022-07-25,67.93
2022-07-26,72.56
2022-07-27,70.32
2022-07-28,75.92
2022-07-29,97.76
2022-07-30,113.07
2022-07-31,75.6
2022-08-01,67.83
2022-08-02,72.46
2022-08-03,70.22
2022-08-04,75.82
2022-08-05,97.66
2022-08-06,112.97
2022-08-07,75.51
2022-08-08,67.74
2022-08-09,72.38
2022-08-10,70.14
2022-08-11,75.75
2022-08-12,97.6
2022-08-13,112.91
2022-08-14,75.45
2022-08-15,67.7
2022-08-16,72.34
2022-08-17,70.11
2022-08-18,75.73
2022-08-19,97.58
2022-08-20,112.91
2022-08-21,75.46
2022-08-22,67.71
2022-08-23,72.36
2022-08-24,70.15
2022-08-25,75.77
2022-08-26,97.64
2022-08-27,112.97
2022-08-28,75.53
2022-08-29,67.79
2022-08-30,72.46
2022-08-31,70.25
2022-09-01,75.89
2022-09-02,97.77
2022-09-03,113.12
2022-09-04,75.69
2022-09-05,67.96
2022-09-06,72.63
2022-09-07,70.44
2022-09-08,76.08
2022-09-09,97.98
2022-09-10,113.33
2022-09-11,75.92
2022-09-12,68.2
2022-09-13,72.89
2022-09-14,70.7
2022-09-15,76.36
2022-09-16,98.26
2022-09-17,113.63
2022-09-18,76.22
2022-09-19,68.51
2022-09-20,73.21
2022-09-21,71.03
2022-09-22,76.7
2022-09-23,98.61
2022-09-24,113.98
2022-09-25,76.58
2022-09-26,68.88
2022-09-27,73.59
2022-09-28,71.42
2022-09-29,77.09
2022-09-30,99.0
2022-10-01,114.38
2022-10-02,76.99
2022-10-03,69.29
2022-10-04,74.0
2022-10-05,71.83
2022-10-06,77.51
