ngay,doanhthu
2022-03-01,71.49
2022-03-02,72.1
2022-03-03,75.61
2022-03-04,95.94
2022-03-05,120.02
2022-03-06,93.6
2022-03-07,68.07
2022-03-08,73.93
2022-03-09,74.72
2022-03-10,78.39
2022-03-11,98.87
2022-03-12,123.08
2022-03-13,96.77
2022-03-14,71.34
2022-03-15,77.28
2022-03-16,78.12
2022-03-17,81.84
2022-03-18,102.34
2022-03-19,126.55
2022-03-20,100.24
2022-03-21,74.77
2022-03-22,80.66
2022-03-23,81.44
2022-03-24,85.07
2022-03-25,105.48
2022-03-26,129.58
2022-03-27,103.13
2022-03-28,77.52
2022-03-29,83.25
2022-03-30,83.86
2022-03-31,87.31
2022-04-01,107.52
2022-04-02,131.42
2022-04-03,104.76
2022-04-04,78.94
2022-04-05,84.45
2022-04-06,84.83
2022-04-07,88.05
2022-04-08,108.02
2022-04-09,131.68
2022-04-10,104.78
2022-04-11,78.72
2022-04-12,83.99
2022-04-13,84.14
2022-04-14,87.14
2022-04-15,106.89
2022-04-16,130.34
2022-04-17,103.23
2022-04-18,76.98
2022-04-19,82.06
2022-04-20,82.03
2022-04-21,84.86
2022-04-22,104.46
2022-04-23,127.77
2022-04-24,100.55
2022-04-25,74.18
2022-04-26,79.17
2022-04-27,79.07
2022-04-28,81.83
2022-04-29,101.39
2022-04-30,124.67
2022-05-01,97.43
2022-05-02,71.06
2022-05-03,76.08
2022-05-04,76.01
2022-05-05,78.83
2022-05-06,98.45
2022-05-07,121.82
2022-05-08,94.68
2022-05-09,68.43
2022-05-10,73.57
2022-05-11,73.65
2022-05-12,76.62
2022-05-13,96.41
2022-05-14,119.96
2022-05-15,93.01
2022-05-16,66.96
2022-05-17,72.31
2022-05-18,72.6
2022-05-19,75.79
2022-05-20,95.81
2022-05-21,119.58
2022-05-22,92.86
2022-05-23,67.04
2022-05-24,72.62
2022-05-25,73.14
2022-05-26,76.57
2022-05-27,96.81
2022-05-28,120.8
2022-05-29,94.3
2022-05-30,68.69
2022-05-31,74.47
2022-06-01,75.19
