ngay,doanhthu
2022-03-01,14.91
2022-03-02,14.49
2022-03-03,15.17
2022-03-04,21.99
2022-03-05,31.8
2022-03-06,26.46
2022-03-07,14.73
2022-03-08,15.08
2022-03-09,14.82
2022-03-10,15.63
2022-03-11,22.59
2022-03-12,32.53
2022-03-13,27.3
2022-03-14,15.66
2022-03-15,16.1
2022-03-16,15.9
2022-03-17,16.76
2022-03-18,23.75
2022-03-19,33.7
2022-03-20,28.47
2022-03-21,16.81
2022-03-22,17.2
2022-03-23,16.95
2022-03-24,17.74
2022-03-25,24.64
2022-03-26,34.49
2022-03-27,29.14
2022-03-28,17.35
2022-03-29,17.62
2022-03-30,17.22
2022-03-31,17.87
2022-04-01,24.62
2022-04-02,34.33
2022-04-03,28.83
2022-04-04,16.9
2022-04-05,17.03
2022-04-06,16.51
2022-04-07,17.04
2022-04-08,23.68
2022-04-09,33.29
2022-04-10,27.71
2022-04-11,15.72
2022-04-12,15.79
2022-04-13,15.23
2022-04-14,15.74
2022-04-15,22.38
2022-04-16,32.0
2022-04-17,26.46
2022-04-18,14.51
2022-04-19,14.65
2022-04-20,14.17
2022-04-21,14.77
2022-04-22,21.52
2022-04-23,31.25
2022-04-24,25.83
2022-04-25,14.02
2022-04-26,14.3
2022-04-27,13.97
2022-04-28,14.72
2022-04-29,21.62
2022-04-30,31.51
2022-05-01,26.24
2022-05-02,14.58
2022-05-03,15.0
2022-05-04,14.81
2022-05-05,15.69
2022-05-06,22.71
2022-05-07,32.72
2022-05-08,27.56
2022-05-09,15.99
2022-05-10,16.5
2022-05-11,16.38
2022-05-12,17.32
2022-05-13,24.4
2022-05-14,34.44
2022-05-15,29.3
2022-05-16,17.75
2022-05-17,18.26
2022-05-18,18.13
2022-05-19,19.06
2022-05-20,26.11
2022-05-21,36.11
2022-05-22,30.93
2022-05-23,19.33
2022-05-24,19.79
2022-05-25,19.6
2022-05-26,20.46
2022-05-27,27.44
2022-05-28,37.37
2022-05-29,32.12
2022-05-30,20.44
