ngay,doanhthu
2022-03-01,17.9
2022-03-02,15.84
2022-03-03,15.01
2022-03-04,26.33
2022-03-05,49.59
2022-03-06,38.58
2022-03-07,16.36
2022-03-08,15.79
2022-03-09,14.12
2022-03-10,12.6
2022-03-11,22.45
2022-03-12,44.2
2022-03-13,32.33
2022-03-14,10.12
2022-03-15,10.19
2022-03-16,9.23
2022-03-17,8.04
2022-03-18,17.86
2022-03-19,39.71
2022-03-20,28.71
2022-03-21,8.58
2022-03-22,11.79
2022-03-23,14.35
2022-03-24,16.15
2022-03-25,27.68
2022-03-26,49.74
2022-03-27,37.8
2022-03-28,16.23
2022-03-29,18.12
2022-03-30,19.7
2022-03-31,20.6
2022-04-01,30.86
2022-04-02,50.93
2022-04-03,36.45
2022-04-04,12.54
2022-04-05,13.35
2022-04-06,16.07
2022-04-07,20.61
2022-04-08,36.36
2022-04-09,62.29
2022-04-10,52.21
2022-04-11,29.76
2022-04-12,28.58
2022-04-13,26.49
2022-04-14,24.95
2022-04-15,35.18
2022-04-16,57.55
2022-04-17,46.35
2022-04-18,24.76
2022-04-19,25.44
2022-04-20,25.18
2022-04-21,24.94
2022-04-22,35.94
2022-04-23,58.85
2022-04-24,48.15
2022-04-25,26.81
2022-04-26,26.9
2022-04-27,24.73
2022-04-28,21.2
2022-04-29,28.21
2022-04-30,47.68
2022-05-01,35.35
2022-05-02,14.92
2022-05-03,18.24
2022-05-04,20.59
2022-05-05,21.53
2022-05-06,31.9
2022-05-07,53.31
2022-05-08,41.92
2022-05-09,22.14
2022-05-10,26.37
2022-05-11,29.86
2022-05-12,31.6
2022-05-13,41.74
2022-05-14,61.43
2022-05-15,46.98
2022-05-16,23.46
2022-05-17,24.12
2022-05-18,24.86
2022-05-19,24.87
2022-05-20,34.13
2022-05-21,53.47
2022-05-22,39.06
2022-05-23,16.1
2022-05-24,18.11
2022-05-25,21.13
2022-05-26,24.19
2022-05-27,36.68
2022-05-28,58.71
2022-05-29,45.85
2022-05-30,23.02
2022-05-31,23.87
2022-06-01,24.81
2022-06-02,25.26
2022-06-03,35.0
2022-06-04,54.5
2022-06-05,39.74
2022-06-06,16.27
2022-06-07,18.33
2022-06-08,22.62
2022-06-09,28.27
2022-06-10,43.99
2022-06-11,68.71
2022-06-12,56.88
2022-06-13,33.13
2022-06-14,31.8
2022-06-15,30.7
2022-06-16,30.57
2022-06-17,41.61
2022-06-18,63.53
2022-06-19,50.67
2022-06-20,26.95
2022-06-21,25.9
2022-06-22,24.88
2022-06-23,24.75
2022-06-24,36.21
2022-06-25,59.38
2022-06-26,48.66
2022-06-27,27.46
2022-06-28,28.56
2022-06-29,28.71
2022-06-30,28.62
2022-07-01,39.39
2022-07-02,61.81
2022-07-03,50.8
2022-07-04,29.84
2022-07-05,31.34
2022-07-06,31.51
2022-07-07,30.8
2022-07-08,40.47
2022-07-09,61.91
2022-07-10,50.64
2022-07-11,30.41
2022-07-12,33.27
2022-07-13,34.66
2022-07-14,34.25
2022-07-15,43.0
2022-07-16,62.69
2022-07-17,49.66
2022-07-18,28.44
2022-07-19,31.36
2022-07-20,33.46
2022-07-21,33.56
2022-07-22,41.91
2022-07-23,60.17
2022-07-24,45.3
2022-07-25,22.84
2022-07-26,25.88
2022-07-27,29.47
2022-07-28,31.61
2022-07-29,41.34
2022-07-30,59.36
2022-07-31,42.59
2022-08-01,17.51
2022-08-02,18.66
2022-08-03,22.33
2022-08-04,26.85
2022-08-05,40.51
2022-08-06,62.58
2022-08-07,48.57
2022-08-08,24.21
2022-08-09,24.26
2022-08-10,25.92
2022-08-11,28.63
2022-08-12,41.35
2022-08-13,63.42
2022-08-14,49.89
2022-08-15,25.9
2022-08-16,25.88
2022-08-17,27.01
2022-08-18,28.94
2022-08-19,40.9
2022-08-20,62.27
2022-08-21,48.05
2022-08-22,23.27
2022-08-23,22.36
2022-08-24,22.72
2022-08-25,24.28
2022-08-26,36.44
2022-08-27,58.61
2022-08-28,45.61
2022-08-29,22.18
2022-08-30,22.49
2022-08-31,23.73
2022-09-01,25.62
2022-09-02,37.43
2022-09-03,58.49
2022-09-04,43.77
2022-09-05,18.51
2022-09-06,17.67
2022-09-07,19.16
2022-09-08,23.09
2022-09-09,38.32
2022-09-10,63.08
2022-09-11,50.87
2022-09-12,25.89
2022-09-13,22.95
2022-09-14,20.95
2022-09-15,21.67
2022-09-16,35.54
2022-09-17,61.45
2022-09-18,52.34
2022-09-19,30.79
2022-09-20,29.79
2022-09-21,27.14
2022-09-22,24.76
2022-09-23,34.36
2022-09-24,56.67
2022-09-25,46.11
2022-09-26,25.82
2022-09-27,28.27
2022-09-28,29.99
2022-09-29,31.52
2022-09-30,43.63
2022-10-01,66.76
2022-10-02,55.6
2022-10-03,33.83
2022-10-04,34.4
2022-10-05,34.14
2022-10-06,33.69
2022-10-07,43.86
2022-10-08,65.13
2022-10-09,52.31
2022-10-10,29.16
2022-10-11,28.75
2022-10-12,27.97
2022-10-13,27.51
2022-10-14,38.14
2022-10-15,60.19
2022-10-16,48.17
2022-10-17,25.54
2022-10-18,25.12
2022-10-19,23.83
2022-10-20,22.72
2022-10-21,33.17
2022-10-22,56.08
2022-10-23,46.17
2022-10-24,26.54
2022-10-25,29.14
2022-10-26,29.87
2022-10-27,29.05
2022-10-28,38.03
2022-10-29,58.45
2022-10-30,46.19
2022-10-31,25.46
2022-11-01,28.75
2022-11-02,31.65
2022-11-03,33.47
2022-11-04,44.33
2022-11-05,64.9
2022-11-06,50.86
2022-11-07,27.01
2022-11-08,26.98
2022-11-09,27.61
2022-11-10,29.01
2022-11-11,41.36
2022-11-12,64.62
2022-11-13,53.32
2022-11-14,31.13
2022-11-15,31.07
2022-11-16,30.05
2022-11-17,28.91
2022-11-18,38.79
2022-11-19,60.4
2022-11-20,48.5
2022-11-21,26.43
2022-11-22,26.67
2022-11-23,25.77
2022-11-24,24.69
2022-11-25,35.1
2022-11-26,58.28
2022-11-27,49.12
2022-11-28,30.36
2022-11-29,33.36
2022-11-30,33.59
2022-12-01,31.61
2022-12-02,39.68
2022-12-03,60.46
2022-12-04,50.2
2022-12-05,32.24
2022-12-06,37.24
2022-12-07,39.08
2022-12-08,36.63
2022-12-09,41.42
2022-12-10,56.84
2022-12-11,41.06
2022-12-12,19.61
2022-12-13,24.5
2022-12-14,29.43
2022-12-15,31.78
2022-12-16,41.12
2022-12-17,59.42
2022-12-18,44.53
2022-12-19,22.64
2022-12-20,26.68
2022-12-21,30.84
2022-12-22,32.38
2022-12-23,40.49
2022-12-24,57.31
2022-12-25,41.81
2022-12-26,21.87
2022-12-27,31.72
2022-12-28,45.24
2022-12-29,57.25
2022-12-30,72.97
2022-12-31,90.65
