ngay,doanhthu
2022-03-01,82.19
2022-03-02,78.66
2022-03-03,84.83
2022-03-04,107.81
2022-03-05,129.32
2022-03-06,101.82
2022-03-07,77.71
2022-03-08,82.6
2022-03-09,79.05
2022-03-10,85.23
2022-03-11,108.23
2022-03-12,129.79
2022-03-13,102.38
2022-03-14,78.36
2022-03-15,83.38
2022-03-16,79.98
2022-03-17,86.32
2022-03-18,109.51
2022-03-19,131.27
2022-03-20,104.06
2022-03-21,80.26
2022-03-22,85.49
2022-03-23,82.29
2022-03-24,88.82
2022-03-25,112.19
2022-03-26,134.1
2022-03-27,107.02
2022-03-28,83.31
2022-03-29,88.6
2022-03-30,85.42
2022-03-31,91.93
2022-04-01,115.23
2022-04-02,137.03
2022-04-03,109.8
2022-04-04,85.89
2022-04-05,90.94
2022-04-06,87.48
2022-04-07,93.68
2022-04-08,116.63
2022-04-09,138.05
2022-04-10,110.41
2022-04-11,86.09
2022-04-12,90.71
2022-04-13,86.82
2022-04-14,92.59
2022-04-15,115.12
2022-04-16,136.14
2022-04-17,108.13
2022-04-18,83.47
2022-04-19,87.78
2022-04-20,83.63
2022-04-21,89.17
2022-04-22,111.54
2022-04-23,132.46
2022-04-24,104.4
2022-04-25,79.75
2022-04-26,84.13
2022-04-27,80.11
2022-04-28,85.85
2022-04-29,108.46
2022-04-30,129.68
2022-05-01,101.96
2022-05-02,77.7
2022-05-03,82.51
2022-05-04,78.95
2022-05-05,85.17
2022-05-06,108.27
2022-05-07,129.99
2022-05-08,102.78
2022-05-09,79.01
2022-05-10,84.3
2022-05-11,81.18
2022-05-12,87.82
2022-05-13,111.32
2022-05-14,133.38
2022-05-15,106.46
2022-05-16,82.92
2022-05-17,88.39
2022-05-18,85.4
2022-05-19,92.11
2022-05-20,115.6
2022-05-21,137.61
2022-05-22,110.58
2022-05-23,86.88
2022-05-24,92.13
2022-05-25,88.89
2022-05-26,95.29
2022-05-27,118.46
2022-05-28,140.11
2022-05-29,112.71
2022-05-30,88.63
2022-05-31,93.49
2022-06-01,89.87
2022-06-02,95.91
2022-06-03,118.73
2022-06-04,140.06
2022-06-05,112.38
2022-06-06,88.05
2022-06-07,92.72
2022-06-08,88.95
2022-06-09,94.89
2022-06-10,117.66
2022-06-11,139.0
2022-06-12,111.38
2022-06-13,87.17
2022-06-14,92.01
2022-06-15,88.44
2022-06-16,94.64
2022-06-17,117.71
