ngay,doanhthu
2022-03-01,9.31
2022-03-02,9.45
2022-03-03,10.74
2022-03-04,17.14
2022-03-05,20.92
2022-03-06,11.63
2022-03-07,8.86
2022-03-08,10.94
2022-03-09,11.41
2022-03-10,13.02
2022-03-11,19.71
2022-03-12,23.77
2022-03-13,14.72
2022-03-14,12.17
2022-03-15,14.43
2022-03-16,15.04
2022-03-17,16.74
2022-03-18,23.48
2022-03-19,27.55
2022-03-20,18.45
2022-03-21,15.81
2022-03-22,17.94
2022-03-23,18.36
2022-03-24,19.84
2022-03-25,26.32
2022-03-26,30.07
2022-03-27,20.64
2022-03-28,17.63
2022-03-29,19.36
2022-03-30,19.37
2022-03-31,20.42
2022-04-01,26.46
2022-04-02,29.77
2022-04-03,19.9
2022-04-04,16.46
2022-04-05,17.77
2022-04-06,17.38
2022-04-07,18.05
2022-04-08,23.74
2022-04-09,26.74
2022-04-10,16.59
2022-04-11,12.91
2022-04-12,14.03
2022-04-13,13.49
2022-04-14,14.05
2022-04-15,19.69
2022-04-16,22.68
2022-04-17,12.56
2022-04-18,8.95
2022-04-19,10.19
2022-04-20,9.81
2022-04-21,10.57
2022-04-22,16.43
2022-04-23,19.67
2022-04-24,9.84
2022-04-25,6.52
2022-04-26,8.07
2022-04-27,8.0
2022-04-28,9.08
2022-04-29,15.26
2022-04-30,18.81
2022-05-01,9.27
2022-05-02,6.24
2022-05-03,8.05
2022-05-04,8.22
2022-05-05,9.51
2022-05-06,15.87
2022-05-07,19.57
2022-05-08,10.15
2022-05-09,7.21
2022-05-10,9.08
2022-05-11,9.27
2022-05-12,10.56
2022-05-13,16.88
2022-05-14,20.53
2022-05-15,11.02
2022-05-16,7.98
2022-05-17,9.72
2022-05-18,9.79
2022-05-19,10.93
2022-05-20,17.11
2022-05-21,20.62
2022-05-22,10.98
2022-05-23,7.8
2022-05-24,9.43
2022-05-25,9.4
2022-05-26,10.46
2022-05-27,16.59
2022-05-28,20.06
2022-05-29,10.42
2022-05-30,7.27
2022-05-31,8.95
2022-06-01,9.0
2022-06-02,10.18
2022-06-03,16.45
2022-06-04,20.08
2022-06-05,10.63
2022-06-06,7.7
2022-06-07,9.61
2022-06-08,9.91
2022-06-09,11.35
2022-06-10,17.88
2022-06-11,21.79
2022-06-12,12.61
2022-06-13,9.94
2022-06-14,12.11
2022-06-15,12.64
2022-06-16,14.31
2022-06-17,21.04
2022-06-18,25.12
2022-06-19,16.07
2022-06-20,13.51
2022-06-21,15.76
2022-06-22,16.33
2022-06-23,17.99
2022-06-24,24.69
2022-06-25,28.69
2022-06-26,19.54
2022-06-27,16.83
2022-06-28,18.9
2022-06-29,19.26
2022-06-30,20.68
2022-07-01,27.11
2022-07-02,30.83
2022-07-03,21.37
2022-07-04,18.34
2022-07-05,20.08
2022-07-06,20.11
2022-07-07,21.19
2022-07-08,27.29
2022-07-09,30.69
2022-07-10,20.92
2022-07-11,17.6
2022-07-12,19.07
2022-07-13,18.85
2022-07-14,19.72
2022-07-15,25.63
2022-07-16,28.87
2022-07-17,18.97
2022-07-18,15.56
2022-07-19,16.96
2022-07-20,16.72
2022-07-21,17.6
2022-07-22,23.54
2022-07-23,26.84
2022-07-24,17.04
2022-07-25,13.75
2022-07-26,15.29
2022-07-27,15.21
2022-07-28,16.25
2022-07-29,22.38
2022-07-30,25.88
2022-07-31,16.28
2022-08-01,13.18
2022-08-02,14.92
2022-08-03,15.02
2022-08-04,16.25
2022-08-05,22.55
2022-08-06,26.2
2022-08-07,16.73
2022-08-08,13.75
2022-08-09,15.59
2022-08-10,15.77
2022-08-11,17.06
2022-08-12,23.39
2022-08-13,27.06
2022-08-14,17.6
2022-08-15,14.6
2022-08-16,16.4
2022-08-17,16.53
2022-08-18,17.75
2022-08-19,24.01
2022-08-20,27.6
2022-08-21,18.04
2022-08-22,14.96
2022-08-23,16.67
2022-08-24,16.71
2022-08-25,17.85
2022-08-26,24.04
2022-08-27,27.55
2022-08-28,17.94
2022-08-29,14.81
2022-08-30,16.49
2022-08-31,16.52
2022-09-01,17.66
2022-09-02,23.86
2022-09-03,27.41
2022-09-04,17.84
2022-09-05,14.76
2022-09-06,16.51
2022-09-07,16.62
2022-09-08,17.85
2022-09-09,24.15
2022-09-10,27.8
2022-09-11,18.33
2022-09-12,15.36
2022-09-13,17.22
2022-09-14,17.43
2022-09-15,18.75
2022-09-16,25.13
2022-09-17,28.85
2022-09-18,19.45
2022-09-19,16.53
2022-09-20,18.42
2022-09-21,18.65
2022-09-22,19.97
2022-09-23,26.34
2022-09-24,30.04
2022-09-25,20.6
2022-09-26,17.62
2022-09-27,19.44
2022-09-28,19.59
2022-09-29,20.82
2022-09-30,27.08
2022-10-01,30.67
2022-10-02,21.12
2022-10-03,18.03
2022-10-04,19.74
2022-10-05,19.77
2022-10-06,20.9
2022-10-07,27.07
2022-10-08,30.58
2022-10-09,20.95
2022-10-10,17.8
2022-10-11,19.46
2022-10-12,19.46
2022-10-13,20.58
2022-10-14,26.76
2022-10-15,30.28
2022-10-16,20.69
2022-10-17,17.59
2022-10-18,19.32
2022-10-19,19.41
2022-10-20,20.62
2022-10-21,26.9
2022-10-22,30.54
2022-10-23,21.07
2022-10-24,18.1
2022-10-25,19.95
2022-10-26,20.16
2022-10-27,21.48
2022-10-28,27.87
2022-10-29,31.6
2022-10-30,22.21
2022-10-31,19.29
2022-11-01,21.19
2022-11-02,21.42
2022-11-03,22.75
2022-11-04,29.12
2022-11-05,32.8
2022-11-06,23.34
2022-11-07,20.34
2022-11-08,22.11
2022-11-09,22.2
2022-11-10,23.36
2022-11-11,29.54
2022-11-12,33.03
2022-11-13,23.34
2022-11-14,20.1
2022-11-15,21.63
2022-11-16,21.46
2022-11-17,22.36
2022-11-18,28.27
2022-11-19,31.49
2022-11-20,21.54
2022-11-21,18.05
2022-11-22,19.33
2022-11-23,18.94
2022-11-24,19.62
2022-11-25,25.34
2022-11-26,28.38
2022-11-27,18.29
2022-11-28,14.66
2022-11-29,15.85
2022-11-30,15.38
2022-12-01,16.02
2022-12-02,21.72
2022-12-03,24.77
2022-12-04,14.7
2022-12-05,11.14
2022-12-06,12.41
2022-12-07,12.04
2022-12-08,12.8
2022-12-09,18.64
2022-12-10,21.85
2022-12-11,11.96
2022-12-12,8.58
2022-12-13,10.03
2022-12-14,9.86
2022-12-15,10.82
2022-12-16,16.86
2022-12-17,20.26
2022-12-18,10.56
2022-12-19,7.37
2022-12-20,9.0
2022-12-21,9.0
2022-12-22,10.12
2022-12-23,16.31
2022-12-24,19.86
2022-12-25,10.29
2022-12-26,7.21
