ngay,doanhthu
2022-03-01,26.16
2022-03-02,25.84
2022-03-03,28.34
2022-03-04,34.83
2022-03-05,51.16
2022-03-06,45.49
2022-03-07,25.76
2022-03-08,27.01
2022-03-09,26.71
2022-03-10,29.23
2022-03-11,35.73
2022-03-12,52.08
2022-03-13,46.42
2022-03-14,26.69
2022-03-15,27.95
2022-03-16,27.64
2022-03-17,30.16
2022-03-18,36.65
2022-03-19,52.99
2022-03-20,47.31
2022-03-21,27.57
2022-03-22,28.8
2022-03-23,28.48
2022-03-24,30.97
2022-03-25,37.43
2022-03-26,53.73
2022-03-27,48.02
2022-03-28,28.25
2022-03-29,29.45
2022-03-30,29.08
2022-03-31,31.53
2022-04-01,37.96
2022-04-02,54.22
2022-04-03,48.47
2022-04-04,28.65
2022-04-05,29.81
2022-04-06,29.4
2022-04-07,31.82
2022-04-08,38.2
2022-04-09,54.42
2022-04-10,48.63
2022-04-11,28.78
2022-04-12,29.9
2022-04-13,29.46
2022-04-14,31.84
2022-04-15,38.2
2022-04-16,54.4
2022-04-17,48.58
2022-04-18,28.7
2022-04-19,29.81
2022-04-20,29.35
2022-04-21,31.72
2022-04-22,38.06
2022-04-23,54.25
2022-04-24,48.43
2022-04-25,28.55
2022-04-26,29.66
2022-04-27,29.21
2022-04-28,31.58
2022-04-29,37.94
2022-04-30,54.14
2022-05-01,48.34
2022-05-02,28.48
2022-05-03,29.61
2022-05-04,29.19
2022-05-05,31.59
2022-05-06,37.98
2022-05-07,54.22
2022-05-08,48.45
2022-05-09,28.63
2022-05-10,29.8
2022-05-11,29.42
2022-05-12,31.87
2022-05-13,38.3
2022-05-14,54.58
2022-05-15,48.86
2022-05-16,29.09
2022-05-17,30.31
2022-05-18,29.97
2022-05-19,32.46
2022-05-20,38.94
2022-05-21,55.27
2022-05-22,49.59
2022-05-23,29.86
2022-05-24,31.12
2022-05-25,30.82
2022-05-26,33.35
2022-05-27,39.87
2022-05-28,56.23
2022-05-29,50.58
2022-05-30,30.88
2022-05-31,32.16
2022-06-01,31.89
2022-06-02,34.43
2022-06-03,40.96
2022-06-04,57.33
2022-06-05,51.7
2022-06-06,32.0
2022-06-07,33.28
2022-06-08,33.0
2022-06-09,35.54
2022-06-10,42.06
2022-06-11,58.41
2022-06-12,52.76
2022-06-13,33.03
2022-06-14,34.29
2022-06-15,33.98
2022-06-16,36.48
2022-06-17,42.96
2022-06-18,59.27
2022-06-19,53.57
2022-06-20,33.8
2022-06-21,35.0
2022-06-22,34.63
2022-06-23,37.08
2022-06-24,43.5
2022-06-25,59.75
2022-06-26,53.99
2022-06-27,34.15
2022-06-28,35.28
2022-06-29,34.85
2022-06-30,37.23
2022-07-01,43.58
2022-07-02,59.76
2022-07-03,53.92
2022-07-04,34.02
2022-07-05,35.08
2022-07-06,34.58
2022-07-07,36.89
2022-07-08,43.17
2022-07-09,59.29
2022-07-10,53.39
2022-07-11,33.43
2022-07-12,34.43
2022-07-13,33.88
2022-07-14,36.14
2022-07-15,42.37
2022-07-16,58.44
2022-07-17,52.5
2022-07-18,32.49
2022-07-19,33.47
2022-07-20,32.88
2022-07-21,35.11
2022-07-22,41.32
2022-07-23,57.37
2022-07-24,51.42
2022-07-25,31.4
2022-07-26,32.37
2022-07-27,31.78
2022-07-28,34.02
2022-07-29,40.24
2022-07-30,56.31
2022-07-31,50.37
2022-08-01,30.37
2022-08-02,31.37
2022-08-03,30.81
2022-08-04,33.08
2022-08-05,39.34
2022-08-06,55.45
2022-08-07,49.55
2022-08-08,29.61
2022-08-09,30.66
2022-08-10,30.15
2022-08-11,32.48
2022-08-12,38.8
2022-08-13,54.97
2022-08-14,49.14
2022-08-15,29.26
2022-08-16,30.37
2022-08-17,29.93
2022-08-18,32.33
2022-08-19,38.71
2022-08-20,54.95
2022-08-21,49.19
2022-08-22,29.38
2022-08-23,30.56
2022-08-24,30.19
2022-08-25,32.65
2022-08-26,39.1
2022-08-27,55.4
2022-08-28,49.7
2022-08-29,29.94
2022-08-30,31.17
2022-08-31,30.85
2022-09-01,33.36
2022-09-02,39.85
2022-09-03,56.19
2022-09-04,50.53
2022-09-05,30.8
2022-09-06,32.07
2022-09-07,31.77
2022-09-08,34.3
2022-09-09,40.81
2022-09-10,57.16
2022-09-11,51.51
2022-09-12,31.78
2022-09-13,33.05
2022-09-14,32.75
2022-09-15,35.27
2022-09-16,41.76
2022-09-17,58.09
2022-09-18,52.42
2022-09-19,32.67
2022-09-20,33.9
2022-09-21,33.57
2022-09-22,36.05
2022-09-23,42.5
2022-09-24,58.79
2022-09-25,53.06
2022-09-26,33.27
2022-09-27,34.44
2022-09-28,34.05
2022-09-29,36.48
2022-09-30,42.87
2022-10-01,59.1
2022-10-02,53.31
2022-10-03,33.45
2022-10-04,34.57
2022-10-05,34.11
2022-10-06,36.47
2022-10-07,42.8
2022-10-08,58.97
2022-10-09,53.11
2022-10-10,33.19
2022-10-11,34.24
2022-10-12,33.73
2022-10-13,36.03
2022-10-14,42.3
2022-10-15,58.42
2022-10-16,52.51
