ngay,doanhthu
2022-03-01,30.3
2022-03-02,26.4
2022-03-03,26.49
2022-03-04,36.18
2022-03-05,51.32
2022-03-06,48.45
2022-03-07,34.71
2022-03-08,34.26
2022-03-09,28.84
2022-03-10,26.57
2022-03-11,32.93
2022-03-12,44.25
2022-03-13,38.34
2022-03-14,23.8
2022-03-15,25.49
2022-03-16,24.49
2022-03-17,27.21
2022-03-18,37.31
2022-03-19,50.09
2022-03-20,43.53
2022-03-21,27.1
2022-03-22,26.58
2022-03-23,23.61
2022-03-24,24.83
2022-03-25,34.09
2022-03-26,47.01
2022-03-27,41.78
2022-03-28,27.75
2022-03-29,30.13
2022-03-30,29.77
2022-03-31,32.72
2022-04-01,42.55
2022-04-02,54.91
2022-04-03,48.03
2022-04-04,31.33
2022-04-05,30.3
2022-04-06,26.42
2022-04-07,26.72
2022-04-08,35.7
2022-04-09,49.35
2022-04-10,45.41
2022-04-11,32.11
2022-04-12,33.61
2022-04-13,30.6
2022-04-14,30.1
2022-04-15,37.32
2022-04-16,49.15
2022-04-17,43.96
2022-04-18,30.14
2022-04-19,31.6
2022-04-20,28.68
2022-04-21,28.31
2022-04-22,35.84
2022-04-23,48.43
2022-04-24,44.57
2022-04-25,32.44
2022-04-26,35.42
2022-04-27,33.28
2022-04-28,32.54
2022-04-29,38.57
2022-04-30,48.96
2022-05-01,42.84
2022-05-02,29.04
2022-05-03,31.37
2022-05-04,29.72
2022-05-05,30.39
2022-05-06,38.29
2022-05-07,50.42
2022-05-08,45.53
2022-05-09,32.31
2022-05-10,34.78
2022-05-11,33.16
2022-05-12,33.97
2022-05-13,41.99
2022-05-14,53.94
2022-05-15,48.25
2022-05-16,33.58
2022-05-17,34.29
2022-05-18,31.05
2022-05-19,30.73
2022-05-20,38.27
2022-05-21,50.34
2022-05-22,45.31
2022-05-23,31.76
2022-05-24,33.87
2022-05-25,31.99
2022-05-26,32.59
2022-05-27,40.36
2022-05-28,52.02
2022-05-29,46.26
2022-05-30,31.97
2022-05-31,33.41
2022-06-01,30.82
2022-06-02,30.64
2022-06-03,37.85
2022-06-04,49.64
2022-06-05,44.9
2022-06-06,32.16
2022-06-07,34.82
2022-06-08,32.32
2022-06-09,31.06
2022-06-10,36.77
2022-06-11,47.69
2022-06-12,43.2
2022-06-13,31.41
2022-06-14,34.71
2022-06-15,31.93
2022-06-16,29.75
2022-06-17,34.93
2022-06-18,46.54
2022-06-19,43.84
2022-06-20,33.79
2022-06-21,37.49
2022-06-22,33.26
2022-06-23,28.42
2022-06-24,31.04
2022-06-25,41.23
2022-06-26,38.51
2022-06-27,29.51
2022-06-28,34.9
2022-06-29,32.81
2022-06-30,30.47
2022-07-01,35.48
2022-07-02,47.1
2022-07-03,44.03
2022-07-04,32.81
2022-07-05,35.02
2022-07-06,30.26
2022-07-07,26.81
2022-07-08,32.38
2022-07-09,45.49
2022-07-10,44.0
2022-07-11,34.05
2022-07-12,37.29
2022-07-13,33.31
2022-07-14,29.97
2022-07-15,34.37
2022-07-16,44.9
2022-07-17,40.23
2022-07-18,28.07
2022-07-19,31.4
2022-07-20,30.0
2022-07-21,30.56
2022-07-22,38.36
2022-07-23,50.44
2022-07-24,45.31
2022-07-25,31.45
2022-07-26,32.88
2022-07-27,30.03
2022-07-28,29.64
2022-07-29,36.75
2022-07-30,48.13
2022-07-31,42.13
2022-08-01,27.14
2022-08-02,27.19
2022-08-03,22.89
2022-08-04,21.53
2022-08-05,28.86
2022-08-06,42.12
2022-08-07,39.39
2022-08-08,28.17
2022-08-09,31.33
2022-08-10,28.78
2022-08-11,27.82
2022-08-12,34.65
2022-08-13,47.01
2022-08-14,43.14
2022-08-15,30.46
2022-08-16,31.92
2022-08-17,27.83
2022-08-18,26.03
2022-08-19,33.0
2022-08-20,46.2
2022-08-21,43.21
2022-08-22,30.83
2022-08-23,31.83
2022-08-24,26.81
2022-08-25,24.1
2022-08-26,30.6
2022-08-27,43.89
2022-08-28,41.47
2022-08-29,29.93
2022-08-30,31.74
2022-08-31,27.19
2022-09-01,24.47
2022-09-02,30.61
2022-09-03,43.66
2022-09-04,41.64
2022-09-05,31.22
2022-09-06,34.3
2022-09-07,30.21
2022-09-08,26.39
2022-09-09,30.06
2022-09-10,40.36
2022-09-11,36.73
2022-09-12,26.77
2022-09-13,32.31
2022-09-14,31.75
2022-09-15,31.4
2022-09-16,37.56
2022-09-17,48.9
2022-09-18,44.69
2022-09-19,32.57
2022-09-20,34.74
2022-09-21,30.44
2022-09-22,27.13
2022-09-23,32.02
2022-09-24,43.94
2022-09-25,41.4
2022-09-26,30.99
2022-09-27,34.32
2022-09-28,30.83
2022-09-29,28.63
2022-09-30,35.22
2022-10-01,48.86
2022-10-02,46.98
2022-10-03,35.36
2022-10-04,35.82
2022-10-05,28.98
2022-10-06,24.3
2022-10-07,30.03
2022-10-08,44.21
2022-10-09,43.56
2022-10-10,33.23
2022-10-11,34.83
2022-10-12,29.09
2022-10-13,25.47
2022-10-14,32.02
2022-10-15,46.56
2022-10-16,45.81
2022-10-17,35.22
2022-10-18,36.68
2022-10-19,30.95
2022-10-20,27.34
2022-10-21,33.85
2022-10-22,48.58
2022-10-23,48.67
2022-10-24,39.64
2022-10-25,42.87
2022-10-26,38.22
2022-10-27,34.42
2022-10-28,39.65
2022-10-29,52.91
2022-10-30,52.2
2022-10-31,43.24
2022-11-01,46.84
2022-11-02,42.12
2022-11-03,37.6
2022-11-04,41.94
2022-11-05,54.85
2022-11-06,54.53
2022-11-07,46.12
2022-11-08,49.53
2022-11-09,43.29
2022-11-10,36.12
2022-11-11,37.5
2022-11-12,48.06
2022-11-13,46.69
2022-11-14,38.87
2022-11-15,44.53
2022-11-16,41.88
2022-11-17,38.74
2022-11-18,43.27
2022-11-19,54.85
2022-11-20,52.03
2022-11-21,41.24
2022-11-22,44.11
2022-11-23,40.11
2022-11-24,37.05
2022-11-25,41.9
2022-11-26,52.86
2022-11-27,48.39
2022-11-28,36.02
2022-11-29,38.6
2022-11-30,35.75
2022-12-01,34.14
2022-12-02,39.37
2022-12-03,49.5
2022-12-04,44.33
2022-12-05,33.08
2022-12-06,38.91
2022-12-07,39.73
2022-12-08,39.63
2022-12-09,43.07
2022-12-10,49.48
2022-12-11,41.71
2022-12-12,31.22
2022-12-13,40.64
2022-12-14,44.94
2022-12-15,45.27
2022-12-16,45.78
2022-12-17,48.8
2022-12-18,41.28
2022-12-19,36.86
2022-12-20,56.61
2022-12-21,70.94
2022-12-22,76.18
2022-12-23,73.91
2022-12-24,67.23
2022-12-25,46.35
2022-12-26,29.04
2022-12-27,40.17
2022-12-28,52.69
2022-12-29,63.5
2022-12-30,72.11
2022-12-31,76.86
