ngay,doanhthu
2022-03-01,78.98
2022-03-02,78.44
2022-03-03,85.95
2022-03-04,106.21
2022-03-05,107.77
2022-03-06,84.17
2022-03-07,74.34
2022-03-08,79.41
2022-03-09,79.0
2022-03-10,86.64
2022-03-11,107.02
2022-03-12,108.69
2022-03-13,85.21
2022-03-14,75.49
2022-03-15,80.65
2022-03-16,80.33
2022-03-17,88.06
2022-03-18,108.52
2022-03-19,110.27
2022-03-20,86.84
2022-03-21,77.18
2022-03-22,82.39
2022-03-23,82.1
2022-03-24,89.86
2022-03-25,110.33
2022-03-26,112.09
2022-03-27,88.67
2022-03-28,78.99
2022-03-29,84.18
2022-03-30,83.88
2022-03-31,91.6
2022-04-01,112.03
2022-04-02,113.74
2022-04-03,90.26
2022-04-04,80.52
2022-04-05,85.64
2022-04-06,85.25
2022-04-07,92.89
2022-04-08,113.23
2022-04-09,114.85
2022-04-10,91.27
2022-04-11,81.43
2022-04-12,86.44
2022-04-13,85.95
2022-04-14,93.48
2022-04-15,113.7
2022-04-16,115.21
2022-04-17,91.51
2022-04-18,81.56
2022-04-19,86.46
2022-04-20,85.85
2022-04-21,93.27
2022-04-22,113.39
2022-04-23,114.78
2022-04-24,90.99
2022-04-25,80.93
2022-04-26,85.74
2022-04-27,85.04
2022-04-28,92.37
2022-04-29,112.42
2022-04-30,113.74
2022-05-01,89.88
2022-05-02,79.76
2022-05-03,84.51
2022-05-04,83.77
2022-05-05,91.06
2022-05-06,111.07
2022-05-07,112.37
2022-05-08,88.49
2022-05-09,78.36
2022-05-10,83.11
2022-05-11,82.37
2022-05-12,89.68
2022-05-13,109.7
2022-05-14,111.03
2022-05-15,87.18
2022-05-16,77.1
2022-05-17,81.89
2022-05-18,81.2
2022-05-19,88.57
2022-05-20,108.66
2022-05-21,110.05
2022-05-22,86.27
2022-05-23,76.26
2022-05-24,81.14
2022-05-25,80.53
2022-05-26,87.98
2022-05-27,108.16
2022-05-28,109.64
2022-05-29,85.95
2022-05-30,76.03
2022-05-31,81.0
2022-06-01,80.48
2022-06-02,88.02
2022-06-03,108.28
2022-06-04,109.85
2022-06-05,86.24
2022-06-06,76.4
2022-06-07,81.44
2022-06-08,81.0
2022-06-09,88.6
2022-06-10,108.92
2022-06-11,110.54
2022-06-12,86.99
2022-06-13,77.19
2022-06-14,82.27
2022-06-15,81.85
2022-06-16,89.48
2022-06-17,109.82
2022-06-18,111.45
2022-06-19,87.89
2022-06-20,78.09
2022-06-21,83.15
2022-06-22,82.72
2022-06-23,90.31
2022-06-24,110.62
2022-06-25,112.21
2022-06-26,88.6
2022-06-27,78.74
2022-06-28,83.74
2022-06-29,83.24
2022-06-30,90.76
2022-07-01,110.99
2022-07-02,112.48
2022-07-03,88.79
2022-07-04,78.83
2022-07-05,83.73
2022-07-06,83.13
2022-07-07,90.54
2022-07-08,110.66
2022-07-09,112.04
2022-07-10,88.24
2022-07-11,78.17
2022-07-12,82.95
2022-07-13,82.23
2022-07-14,89.53
2022-07-15,109.53
2022-07-16,110.81
2022-07-17,86.9
2022-07-18,76.72
2022-07-19,81.41
2022-07-20,80.59
2022-07-21,87.8
2022-07-22,107.72
2022-07-23,108.92
2022-07-24,84.93
2022-07-25,74.69
2022-07-26,79.31
2022-07-27,78.44
2022-07-28,85.6
2022-07-29,105.48
2022-07-30,106.65
2022-07-31,82.64
2022-08-01,72.39
2022-08-02,77.01
2022-08-03,76.14
2022-08-04,83.32
2022-08-05,103.23
2022-08-06,104.43
2022-08-07,80.46
2022-08-08,70.26
2022-08-09,74.94
2022-08-10,74.14
2022-08-11,81.4
2022-08-12,101.39
2022-08-13,102.68
2022-08-14,78.81
2022-08-15,68.71
2022-08-16,73.51
2022-08-17,72.83
2022-08-18,80.21
2022-08-19,100.33
2022-08-20,101.75
2022-08-21,78.02
2022-08-22,68.07
2022-08-23,73.01
2022-08-24,72.47
2022-08-25,80.0
2022-08-26,100.27
2022-08-27,101.85
2022-08-28,78.27
2022-08-29,68.46
2022-08-30,73.54
2022-08-31,73.15
2022-09-01,80.82
2022-09-02,101.23
2022-09-03,102.94
2022-09-04,79.49
2022-09-05,69.8
2022-09-06,75.0
2022-09-07,74.72
2022-09-08,82.5
2022-09-09,103.0
2022-09-10,104.79
2022-09-11,81.42
2022-09-12,71.81
2022-09-13,77.07
2022-09-14,76.84
2022-09-15,84.66
2022-09-16,105.19
2022-09-17,107.01
2022-09-18,83.65
2022-09-19,74.04
2022-09-20,79.3
2022-09-21,79.05
2022-09-22,86.84
2022-09-23,107.34
2022-09-24,109.11
2022-09-25,85.7
2022-09-26,76.02
2022-09-27,81.2
2022-09-28,80.87
2022-09-29,88.57
2022-09-30,108.96
2022-10-01,110.63
2022-10-02,87.1
2022-10-03,77.3
2022-10-04,82.36
2022-10-05,81.9
2022-10-06,89.46
2022-10-07,109.71
2022-10-08,111.23
2022-10-09,87.56
2022-10-10,77.61
2022-10-11,82.51
2022-10-12,81.9
2022-10-13,89.31
2022-10-14,109.42
2022-10-15,110.79
2022-10-16,86.97
2022-10-17,76.88
2022-10-18,81.64
2022-10-19,80.9
2022-10-20,88.18
2022-10-21,108.16
2022-10-22,109.41
2022-10-23,85.48
2022-10-24,75.28
2022-10-25,79.95
2022-10-26,79.11
2022-10-27,86.31
2022-10-28,106.22
2022-10-29,107.42
2022-10-30,83.43
2022-10-31,73.19
2022-11-01,77.83
2022-11-02,76.98
2022-11-03,84.17
2022-11-04,104.08
2022-11-05,105.29
2022-11-06,81.32
2022-11-07,71.12
2022-11-08,75.8
2022-11-09,75.0
2022-11-10,82.26
2022-11-11,102.25
2022-11-12,103.54
2022-11-13,79.67
2022-11-14,69.58
2022-11-15,74.37
2022-11-16,73.7
2022-11-17,81.08
2022-11-18,101.21
2022-11-19,102.64
2022-11-20,78.93
2022-11-21,68.98
2022-11-22,73.94
2022-11-23,73.43
2022-11-24,80.98
2022-11-25,101.28
2022-11-26,102.89
2022-11-27,79.34
2022-11-28,69.58
2022-11-29,74.71
2022-11-30,74.37
2022-12-01,82.09
2022-12-02,102.56
2022-12-03,104.33
2022-12-04,80.95
2022-12-05,71.34
2022-12-06,76.63
2022-12-07,76.43
2022-12-08,84.3
2022-12-09,104.89
2022-12-10,106.79
2022-12-11,83.53
2022-12-12,74.03
2022-12-13,79.41
2022-12-14,79.3
2022-12-15,87.24
2022-12-16,107.91
2022-12-17,109.86
2022-12-18,86.65
2022-12-19,77.18
2022-12-20,82.58
2022-12-21,82.49
2022-12-22,90.43
2022-12-23,111.09
2022-12-24,113.02
2022-12-25,89.77
2022-12-26,80.25
2022-12-27,85.6
2022-12-28,85.44
2022-12-29,93.31
2022-12-30,113.87
2022-12-31,115.71
