ngay,doanhthu
2022-03-01,40.18
2022-03-02,40.12
2022-03-03,41.62
2022-03-04,51.58
2022-03-05,66.64
2022-03-06,54.55
2022-03-07,39.05
2022-03-08,39.83
2022-03-09,40.06
2022-03-10,41.88
2022-03-11,52.16
2022-03-12,67.57
2022-03-13,55.82
2022-03-14,40.66
2022-03-15,41.77
2022-03-16,42.3
2022-03-17,44.39
2022-03-18,54.91
2022-03-19,70.51
2022-03-20,58.9
2022-03-21,43.83
2022-03-22,44.97
2022-03-23,45.48
2022-03-24,47.48
2022-03-25,57.87
2022-03-26,73.28
2022-03-27,61.43
2022-03-28,46.08
2022-03-29,46.9
2022-03-30,47.07
2022-03-31,48.7
2022-04-01,58.71
2022-04-02,73.74
2022-04-03,61.51
2022-04-04,45.8
2022-04-05,46.28
2022-04-06,46.14
2022-04-07,47.5
2022-04-08,57.27
2022-04-09,72.12
2022-04-10,59.76
2022-04-11,43.96
2022-04-12,44.41
2022-04-13,44.29
2022-04-14,45.72
2022-04-15,55.61
2022-04-16,70.61
2022-04-17,58.44
2022-04-18,42.86
2022-04-19,43.55
2022-04-20,43.68
2022-04-21,45.36
2022-04-22,55.51
2022-04-23,70.75
2022-04-24,58.8
2022-04-25,43.42
2022-04-26,44.28
2022-04-27,44.55
2022-04-28,46.34
2022-04-29,56.55
2022-04-30,71.82
2022-05-01,59.86
2022-05-02,44.43
2022-05-03,45.21
2022-05-04,45.36
2022-05-05,47.02
2022-05-06,57.07
2022-05-07,72.17
2022-05-08,60.03
2022-05-09,44.43
2022-05-10,45.05
2022-05-11,45.05
2022-05-12,46.58
2022-05-13,56.53
2022-05-14,71.55
2022-05-15,59.38
2022-05-16,43.77
2022-05-17,44.42
2022-05-18,44.5
2022-05-19,46.13
2022-05-20,56.21
2022-05-21,71.41
2022-05-22,59.43
2022-05-23,44.03
2022-05-24,44.91
2022-05-25,45.21
2022-05-26,47.06
2022-05-27,57.37
2022-05-28,72.76
2022-05-29,60.95
2022-05-30,45.7
2022-05-31,46.68
2022-06-01,47.05
2022-06-02,48.93
2022-06-03,59.21
2022-06-04,74.53
2022-06-05,62.61
2022-06-06,47.2
2022-06-07,47.97
2022-06-08,48.1
2022-06-09,49.7
2022-06-10,59.69
2022-06-11,74.69
2022-06-12,62.44
2022-06-13,46.71
2022-06-14,47.16
2022-06-15,46.99
2022-06-16,48.32
2022-06-17,58.06
2022-06-18,72.87
