S? l??ng hóa ??n,S? khách,Doanh s?,Doanh thu,Gi?m giá món,Gi?m giá hóa ??n,Gi?m giá thành viên,VAT,Ph? phí,Mã c?a hàng,Tên c?a hàng,Ngày
70,418,86496200,82370775,923600,472120,2729705,402623.5,0,1,ICOOL Ung V?n Khiêm,25/07/2017
21,90,9561200,9561200,0,0,0,0,0,10,ICOOL Thành Thái,25/07/2017
10,62,5988700,5797225,0,0,191475,0,0,2,AAPPLE Hoàng Vi?t,25/07/2017
57,317,62468200,60417855,0,652410,1397935,116928,0,4,ICOOL Xô Vi?t Ngh? T?nh,25/07/2017
38,141,42868500,41035890,486000,144200,1202410,0,0,5,ICOOL Tô Ký,25/07/2017
54,311,55665300,53434530,62000,647000,1521770,0,0,6,ICOOL Bình Phú,25/07/2017
38,250,41295000,40457175,0,452950,384875,0,530000,7,ICool D??ng Bá Tr?c,25/07/2017
75,481,95504100,86720265,356000,6417750,2010085,0,0,1,ICOOL Ung V?n Khiêm,26/07/2017
20,68,5765000,5765000,0,0,0,0,0,10,ICOOL Thành Thái,26/07/2017
9,51,6922600,6857780,0,30610,34210,0,0,2,AAPPLE Hoàng Vi?t,26/07/2017
40,203,36487200,34961740,0,816560,708900,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,26/07/2017
21,76,18655400,17817095,296400,110390,431515,0,0,5,ICOOL Tô Ký,26/07/2017
34,171,30929700,30000830,31000,117600,780270,0,0,6,ICOOL Bình Phú,26/07/2017
54,314,58481800,56685465,541000,539400,715935,0,0,7,ICool D??ng Bá Tr?c,26/07/2017
76,418,96707700,92522870,759000,1505440,1920390,119583,500000,1,ICOOL Ung V?n Khiêm,27/07/2017
12,57,5803700,5803700,0,0,0,0,0,10,ICOOL Thành Thái,27/07/2017
12,64,8975300,8818665,0,98060,58575,0,0,2,AAPPLE Hoàng Vi?t,27/07/2017
62,324,58541900,56548780,0,781220,1211900,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,27/07/2017
31,145,30759000,29924370,350400,0,484230,0,0,5,ICOOL Tô Ký,27/07/2017
50,329,60744900,58635325,0,80250,2029325,0,700000,6,ICOOL Bình Phú,27/07/2017
37,265,48116200,43197015,429000,4122500,367685,0,0,7,ICool D??ng Bá Tr?c,27/07/2017
87,596,128260700,121545840,3134300,1105580,2474980,293317.5,400000,1,ICOOL Ung V?n Khiêm,28/07/2017
21,84,9132200,9132200,0,0,0,0,0,10,ICOOL Thành Thái,28/07/2017
24,136,20218000,19672115,176000,0,369885,0,0,2,AAPPLE Hoàng Vi?t,28/07/2017
70,379,72437800,70008240,89000,752400,1588160,31580,0,4,ICOOL Xô Vi?t Ngh? T?nh,28/07/2017
48,213,52841600,50583065,906300,0,1352235,0,0,5,ICOOL Tô Ký,28/07/2017
55,334,62297400,58676375,487800,1103000,2030225,0,150000,6,ICOOL Bình Phú,28/07/2017
45,270,60097600,58596245,735000,23400,742955,0,0,7,ICool D??ng Bá Tr?c,28/07/2017
109,768,158043700,152354515,1419000,432440,3837745,133960,0,1,ICOOL Ung V?n Khiêm,29/07/2017
29,124,16243100,16236130,0,0,6970,0,0,10,ICOOL Thành Thái,29/07/2017
27,138,18677600,17972770,0,67650,637180,0,0,2,AAPPLE Hoàng Vi?t,29/07/2017
100,602,120085300,116659020,0,1511180,1915100,28050,0,4,ICOOL Xô Vi?t Ngh? T?nh,29/07/2017
62,268,67964900,64989690,1527000,0,1448210,110480,0,5,ICOOL Tô Ký,29/07/2017
82,502,105032600,99930340,1278300,723400,3100560,0,0,6,ICOOL Bình Phú,29/07/2017
59,354,70519300,68520435,1188000,104700,706165,121665,0,7,ICool D??ng Bá Tr?c,29/07/2017
96,602,128301400,123678625,1423000,778100,2421675,111575,0,1,ICOOL Ung V?n Khiêm,30/07/2017
22,70,7913600,7913600,0,0,0,0,0,10,ICOOL Thành Thái,30/07/2017
15,85,13351900,13097650,0,0,254250,0,0,2,AAPPLE Hoàng Vi?t,30/07/2017
100,577,122565100,118466510,89000,1631460,2378130,72000,0,4,ICOOL Xô Vi?t Ngh? T?nh,30/07/2017
58,261,74465200,71829460,958300,376180,1301260,115830,0,5,ICOOL Tô Ký,30/07/2017
85,531,113511800,109034510,74700,1074700,3327890,105450,50000,6,ICOOL Bình Phú,30/07/2017
54,334,74978600,73389015,553000,0,1036585,0,0,7,ICool D??ng Bá Tr?c,30/07/2017
76,461,101032200,94830385,1531600,1339880,3330335,370911,0,1,ICOOL Ung V?n Khiêm,31/07/2017
23,73,6651200,6651200,0,0,0,0,0,10,ICOOL Thành Thái,31/07/2017
14,68,10128200,9998500,0,0,129700,0,0,2,AAPPLE Hoàng Vi?t,31/07/2017
64,392,70836100,69237840,178000,376800,1043460,149120,150000,4,ICOOL Xô Vi?t Ngh? T?nh,31/07/2017
38,165,37151000,35391250,0,767850,991900,0,0,5,ICOOL Tô Ký,31/07/2017
41,261,44904600,43038700,209400,488800,1167700,180550,0,6,ICOOL Bình Phú,31/07/2017
42,224,39566500,38223140,298000,493500,551860,63050,0,7,ICool D??ng Bá Tr?c,31/07/2017
82,518,110215600,106373315,1021500,670750,2150035,580900,0,1,ICOOL Ung V?n Khiêm,01/08/2017
24,99,10235600,10235600,0,0,0,62320,0,10,ICOOL Thành Thái,01/08/2017
15,73,10904700,10714150,38000,60000,92550,0,0,2,AAPPLE Hoàng Vi?t,01/08/2017
60,300,58090400,56088970,0,517800,1483630,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,01/08/2017
38,149,40326000,37793840,571000,573450,1387710,0,0,5,ICOOL Tô Ký,01/08/2017
60,362,68281800,65436380,509400,651960,1684060,0,500000,6,ICOOL Bình Phú,01/08/2017
43,258,46734100,46071975,302000,0,360125,129650,0,7,ICool D??ng Bá Tr?c,01/08/2017
75,463,99084900,92595575,1809700,993840,3685785,87350,0,1,ICOOL Ung V?n Khiêm,02/08/2017
22,68,6201500,6201500,0,0,0,0,0,10,ICOOL Thành Thái,02/08/2017
24,116,16365000,15748265,211000,93210,312525,0,0,2,AAPPLE Hoàng Vi?t,02/08/2017
62,334,62905600,61272795,89000,324740,1219065,285831.25,0,4,ICOOL Xô Vi?t Ngh? T?nh,02/08/2017
39,148,42586300,40547425,693800,0,1345075,0,0,5,ICOOL Tô Ký,02/08/2017
60,365,68062700,64936365,523500,570000,2032835,0,400000,6,ICOOL Bình Phú,02/08/2017
54,315,57962900,56542785,539000,80850,800265,0,150000,7,ICool D??ng Bá Tr?c,02/08/2017
79,451,100864800,94809100,2202000,840160,3013540,207907.5,200000,1,ICOOL Ung V?n Khiêm,03/08/2017
21,65,7836300,7836300,0,0,0,0,0,10,ICOOL Thành Thái,03/08/2017
14,65,11389300,10753105,89000,412920,134275,0,0,2,AAPPLE Hoàng Vi?t,03/08/2017
64,353,65660100,64505125,0,231500,923475,42810,0,4,ICOOL Xô Vi?t Ngh? T?nh,03/08/2017
27,114,31275600,29766140,617700,0,891760,0,0,5,ICOOL Tô Ký,03/08/2017
52,327,49863700,47180025,772200,408000,1503475,0,0,6,ICOOL Bình Phú,03/08/2017
52,315,64520000,62831955,911700,179400,596945,0,0,7,ICool D??ng Bá Tr?c,03/08/2017
93,564,122827700,118118480,1207400,888170,2613650,596639.25,0,1,ICOOL Ung V?n Khiêm,04/08/2017
25,119,12529500,12529500,0,0,0,0,0,10,ICOOL Thành Thái,04/08/2017
27,135,20239100,19838710,57000,40175,303215,0,0,2,AAPPLE Hoàng Vi?t,04/08/2017
84,460,102944500,95269270,446400,5479930,1748900,169914,0,4,ICOOL Xô Vi?t Ngh? T?nh,04/08/2017
49,225,67589500,64558175,1276000,0,1755325,136125.5,240000,5,ICOOL Tô Ký,04/08/2017
54,334,67026300,63175495,209400,1116250,2525155,152688.75,0,6,ICOOL Bình Phú,04/08/2017
41,303,52353100,50722425,723000,104640,803035,0,0,7,ICool D??ng Bá Tr?c,04/08/2017
122,818,167201700,157124735,1677400,4438280,3961285,152775,0,1,ICOOL Ung V?n Khiêm,05/08/2017
40,178,22986000,22986000,0,0,0,0,0,10,ICOOL Thành Thái,05/08/2017
28,112,19423300,18998780,125000,0,299520,0,0,2,AAPPLE Hoàng Vi?t,05/08/2017
109,608,123401000,119537120,430700,1180480,2252700,150225,100000,4,ICOOL Xô Vi?t Ngh? T?nh,05/08/2017
74,357,83488800,80282260,1217300,0,1989240,0,130000,5,ICOOL Tô Ký,05/08/2017
99,625,113055500,107434875,523500,1537970,3559155,131775,0,6,ICOOL Bình Phú,05/08/2017
64,467,93039600,88911115,699000,2591700,837785,232545,100000,7,ICool D??ng Bá Tr?c,05/08/2017
113,733,140818300,132640450,1542000,1691670,4944180,0,200000,1,ICOOL Ung V?n Khiêm,06/08/2017
27,106,12286700,12286700,0,0,0,0,0,10,ICOOL Thành Thái,06/08/2017
25,107,16960500,16609795,114000,0,236705,0,50000,2,AAPPLE Hoàng Vi?t,06/08/2017
102,562,107481700,105156160,89000,1116330,1120210,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,06/08/2017
64,307,66441700,64284640,1004300,0,1152760,0,100000,5,ICOOL Tô Ký,06/08/2017
77,499,93271200,89753485,149400,1093000,2275315,51550,250000,6,ICOOL Bình Phú,06/08/2017
60,306,65253600,64172645,437700,0,643255,0,0,7,ICool D??ng Bá Tr?c,06/08/2017
84,501,93113100,89511715,885100,63800,2652485,656660.25,0,1,ICOOL Ung V?n Khiêm,07/08/2017
11,27,2652800,2652800,0,0,0,0,0,10,ICOOL Thành Thái,07/08/2017
13,60,9706000,9533300,0,0,172700,0,0,2,AAPPLE Hoàng Vi?t,07/08/2017
56,313,50230900,48420330,193700,856880,759990,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,07/08/2017
26,93,21198200,20221900,155000,249000,572300,0,0,5,ICOOL Tô Ký,07/08/2017
42,350,65575300,61550440,0,1360000,2664860,0,0,6,ICOOL Bình Phú,07/08/2017
40,212,39123400,38406085,408800,0,308515,0,0,7,ICool D??ng Bá Tr?c,07/08/2017
82,549,101325810,95654305,129000,3454140,2088365,248443.75,0,1,ICOOL Ung V?n Khiêm,08/08/2017
19,55,5026600,5026600,0,0,0,0,0,10,ICOOL Thành Thái,08/08/2017
9,39,5625400,5625400,0,0,0,0,0,2,AAPPLE Hoàng Vi?t,08/08/2017
64,405,61040100,58784165,89000,875025,1291910,68409.5,0,4,ICOOL Xô Vi?t Ngh? T?nh,08/08/2017
27,114,27612200,26668040,0,315000,629160,0,0,5,ICOOL Tô Ký,08/08/2017
60,423,61590900,58656040,0,1116710,1818150,0,0,6,ICOOL Bình Phú,08/08/2017
41,261,52434700,51258125,774000,101150,301425,0,0,7,ICool D??ng Bá Tr?c,08/08/2017
73,453,85020700,81605785,1099000,418980,1896935,625101.5,0,1,ICOOL Ung V?n Khiêm,09/08/2017
17,65,6731300,6731300,0,0,0,64610,0,10,ICOOL Thành Thái,09/08/2017
15,69,11552300,11123925,0,47220,381155,0,0,2,AAPPLE Hoàng Vi?t,09/08/2017
63,396,66051700,63527090,89000,1138250,1297360,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,09/08/2017
35,160,29869700,28499085,201000,111460,1058155,0,0,5,ICOOL Tô Ký,09/08/2017
64,422,81762100,78037255,104700,1017100,2603045,0,0,6,ICOOL Bình Phú,09/08/2017
35,191,41148300,40208730,201000,0,738570,97050,0,7,ICool D??ng Bá Tr?c,09/08/2017
75,440,95278700,91176065,891000,1157390,2054245,417042.5,0,1,ICOOL Ung V?n Khiêm,10/08/2017
19,69,9266800,9266800,0,0,0,0,0,10,ICOOL Thành Thái,10/08/2017
1,1,0,0,0,0,0,0,0,11,ICool Nguy?n Trãi,10/08/2017
19,83,13694600,13203790,89000,0,401810,0,0,2,AAPPLE Hoàng Vi?t,10/08/2017
78,389,87418800,84383300,625800,1243730,1165970,407600,0,4,ICOOL Xô Vi?t Ngh? T?nh,10/08/2017
48,219,50897400,48543710,744000,0,1609690,110081.25,0,5,ICOOL Tô Ký,10/08/2017
64,352,69686700,66603650,0,982495,2100555,0,0,6,ICOOL Bình Phú,10/08/2017
58,404,64638600,62584060,614400,271450,1168690,68850,100000,7,ICool D??ng Bá Tr?c,10/08/2017
86,522,111341400,102741135,795000,2855110,4950155,123595,0,1,ICOOL Ung V?n Khiêm,11/08/2017
27,97,9231200,9231200,0,0,0,0,0,10,ICOOL Thành Thái,11/08/2017
32,144,22025100,21127290,290000,104020,503790,67950,0,2,AAPPLE Hoàng Vi?t,11/08/2017
68,493,71092900,67880690,1026500,1186890,998820,207685,0,4,ICOOL Xô Vi?t Ngh? T?nh,11/08/2017
42,201,52594100,49379160,1547000,0,1667940,0,200000,5,ICOOL Tô Ký,11/08/2017
59,388,66210000,62917330,39000,1598000,1655670,0,0,6,ICOOL Bình Phú,11/08/2017
41,293,53829800,52746230,260000,0,823570,62780,0,7,ICool D??ng Bá Tr?c,11/08/2017
121,844,168468100,161803800,1601000,745970,4317330,709568,0,1,ICOOL Ung V?n Khiêm,12/08/2017
27,117,14861500,14739350,0,122150,0,0,120000,10,ICOOL Thành Thái,12/08/2017
1,2,91200,91200,0,0,0,0,0,11,ICool Nguy?n Trãi,12/08/2017
28,125,21127500,20467135,203000,146975,310390,0,0,2,AAPPLE Hoàng Vi?t,12/08/2017
84,447,105530300,101175905,1213700,732850,2407845,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,12/08/2017
77,362,92104800,87797250,1690300,402220,2215030,73150,700000,5,ICOOL Tô Ký,12/08/2017
74,490,96290400,91696855,179400,926000,3488145,237485,0,6,ICOOL Bình Phú,12/08/2017
66,427,88951500,86131345,897400,0,1922755,54200,0,7,ICool D??ng Bá Tr?c,12/08/2017
102,675,123006500,118712280,896000,392060,3006160,141100,0,1,ICOOL Ung V?n Khiêm,13/08/2017
21,91,12088900,11827550,0,261350,0,0,0,10,ICOOL Thành Thái,13/08/2017
23,107,8380600,8380600,0,0,0,0,0,11,ICool Nguy?n Trãi,13/08/2017
10,46,10186500,9996260,0,43840,146400,0,0,2,AAPPLE Hoàng Vi?t,13/08/2017
119,643,129945000,126810370,479600,248350,2406680,72020,300000,4,ICOOL Xô Vi?t Ngh? T?nh,13/08/2017
60,291,67198800,64394160,1223000,141500,1440140,0,0,5,ICOOL Tô Ký,13/08/2017
93,571,104953500,99424370,1023900,1833560,2671670,0,0,6,ICOOL Bình Phú,13/08/2017
63,417,90416700,87911235,962400,89000,1454065,0,0,7,ICool D??ng Bá Tr?c,13/08/2017
77,431,88957800,84564150,1471000,450840,2471810,199295,0,1,ICOOL Ung V?n Khiêm,14/08/2017
13,46,4726900,4512900,214000,0,0,0,0,10,ICOOL Thành Thái,14/08/2017
4,28,1114000,1114000,0,0,0,0,0,11,ICool Nguy?n Trãi,14/08/2017
13,58,9622900,9354920,0,0,267980,0,0,2,AAPPLE Hoàng Vi?t,14/08/2017
56,266,50072000,46960770,335700,2103600,671930,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,14/08/2017
29,139,31575400,29919575,919700,0,736125,0,0,5,ICOOL Tô Ký,14/08/2017
42,254,43907000,41149240,293100,1004140,1460520,0,0,6,ICOOL Bình Phú,14/08/2017
45,262,44984400,44215905,143400,43300,581795,0,0,7,ICool D??ng Bá Tr?c,14/08/2017
80,533,107870200,97297855,1010000,7031340,2531005,1288349.75,0,1,ICOOL Ung V?n Khiêm,15/08/2017
26,95,7294700,6712300,550800,31600,0,0,0,10,ICOOL Thành Thái,15/08/2017
10,36,3362600,3362600,0,0,0,0,0,11,ICool Nguy?n Trãi,15/08/2017
14,61,8207900,7992500,0,22960,192440,0,0,2,AAPPLE Hoàng Vi?t,15/08/2017
55,293,46466200,44562210,241000,420690,1242300,62300,200000,4,ICOOL Xô Vi?t Ngh? T?nh,15/08/2017
30,143,32906900,31033560,881000,76900,915440,0,0,5,ICOOL Tô Ký,15/08/2017
47,267,50172000,47106125,819400,463000,1783475,0,0,6,ICOOL Bình Phú,15/08/2017
49,309,64801700,62795585,348500,434250,1223365,0,0,7,ICool D??ng Bá Tr?c,15/08/2017
89,513,109027900,102373145,639000,3422450,2593305,318113.75,0,1,ICOOL Ung V?n Khiêm,16/08/2017
21,85,6633000,6164850,399000,69150,0,0,0,10,ICOOL Thành Thái,16/08/2017
9,33,3616600,3616600,0,0,0,0,0,11,ICool Nguy?n Trãi,16/08/2017
14,89,12333200,11689120,252000,0,392080,0,0,2,AAPPLE Hoàng Vi?t,16/08/2017
69,464,61193700,58898780,387000,386240,1521680,228280,0,4,ICOOL Xô Vi?t Ngh? T?nh,16/08/2017
36,607,38950000,36785590,891400,0,1273010,38190,300000,5,ICOOL Tô Ký,16/08/2017
55,269,51052000,47734925,1462800,177950,1676325,0,50000,6,ICOOL Bình Phú,16/08/2017
38,253,50719000,48685025,629000,274350,1130625,65645,195000,7,ICool D??ng Bá Tr?c,16/08/2017
84,573,101798200,94505975,357400,4843980,2090845,311604.5,0,1,ICOOL Ung V?n Khiêm,17/08/2017
20,71,5045600,4833870,204800,0,6930,0,0,10,ICOOL Thành Thái,17/08/2017
8,23,1912800,1912800,0,0,0,0,0,11,ICool Nguy?n Trãi,17/08/2017
16,67,8769400,8294760,203700,54350,216590,0,0,2,AAPPLE Hoàng Vi?t,17/08/2017
67,365,61712600,56301500,385000,4333310,692790,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,17/08/2017
31,156,31724100,29781530,396000,524620,1021950,0,0,5,ICOOL Tô Ký,17/08/2017
70,396,67904600,64243760,1452400,196100,2012340,0,0,6,ICOOL Bình Phú,17/08/2017
43,279,49159000,47921600,184000,0,1053400,0,150000,7,ICool D??ng Bá Tr?c,17/08/2017
85,567,120048600,109893770,2970000,3957630,3227200,485522.25,0,1,ICOOL Ung V?n Khiêm,18/08/2017
17,56,4955200,4955200,0,0,0,0,0,10,ICOOL Thành Thái,18/08/2017
8,19,2060800,2060800,0,0,0,0,0,11,ICool Nguy?n Trãi,18/08/2017
3,25,4516600,4226270,0,290330,0,0,0,12,ICool M?c ?inh Chi,18/08/2017
16,74,12234100,11621360,125000,0,487740,0,0,2,AAPPLE Hoàng Vi?t,18/08/2017
67,434,78627000,76900355,0,448390,1278255,415410,0,4,ICOOL Xô Vi?t Ngh? T?nh,18/08/2017
45,213,44925200,42692640,1259300,113000,860260,0,0,5,ICOOL Tô Ký,18/08/2017
52,310,69123700,66162385,1081700,161650,1717965,41277.5,0,6,ICOOL Bình Phú,18/08/2017
57,348,82118600,80191920,617000,0,1309680,110700,0,7,ICool D??ng Bá Tr?c,18/08/2017
119,844,184499900,175197295,2802700,1675060,4824845,866047.75,0,1,ICOOL Ung V?n Khiêm,19/08/2017
25,101,10309600,10263280,0,46320,0,0,0,10,ICOOL Thành Thái,19/08/2017
10,35,3314400,3314400,0,0,0,0,0,11,ICool Nguy?n Trãi,19/08/2017
2,17,1967000,1868650,0,98350,0,0,0,12,ICool M?c ?inh Chi,19/08/2017
27,119,18399000,18005425,165000,0,228575,75667.5,0,2,AAPPLE Hoàng Vi?t,19/08/2017
99,624,126107900,121467990,1080000,142810,3417100,310578.75,0,4,ICOOL Xô Vi?t Ngh? T?nh,19/08/2017
69,368,81073300,77109285,1616000,177580,2170435,0,0,5,ICOOL Tô Ký,19/08/2017
75,491,110252200,102967580,3085000,1063400,3136220,0,200000,6,ICOOL Bình Phú,19/08/2017
52,319,69863700,67739380,877000,0,1247320,157719,0,7,ICool D??ng Bá Tr?c,19/08/2017
96,621,131257300,125052570,1562000,1431360,3211370,71510,0,1,ICOOL Ung V?n Khiêm,20/08/2017
18,95,8779400,8717680,0,61720,0,0,100000,10,ICOOL Thành Thái,20/08/2017
20,79,6956400,6956400,0,0,0,0,0,11,ICool Nguy?n Trãi,20/08/2017
1,3,363800,345610,0,18190,0,0,0,12,ICool M?c ?inh Chi,20/08/2017
17,75,12891300,12637135,49000,79190,125975,0,0,2,AAPPLE Hoàng Vi?t,20/08/2017
100,486,101987600,98197875,972100,912600,1905025,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,20/08/2017
59,265,65894500,62794465,1242000,0,1858035,0,700000,5,ICOOL Tô Ký,20/08/2017
74,456,81782700,76491075,2720800,509380,2061445,0,100000,6,ICOOL Bình Phú,20/08/2017
52,300,70692100,68667320,955700,0,1069080,0,100000,7,ICool D??ng Bá Tr?c,20/08/2017
69,409,67708006,63717091,1925000,995660,1070255,293924.75,0,1,ICOOL Ung V?n Khiêm,21/08/2017
19,84,6331800,6319440,0,0,12360,0,0,10,ICOOL Thành Thái,21/08/2017
4,17,1183200,1183200,0,0,0,0,0,11,ICool Nguy?n Trãi,21/08/2017
3,12,6444000,5799600,0,644400,0,0,0,12,ICool M?c ?inh Chi,21/08/2017
5,30,3746600,3692550,0,0,54050,0,0,2,AAPPLE Hoàng Vi?t,21/08/2017
58,276,53584800,49501940,584800,2158520,1339540,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,21/08/2017
32,155,28672800,27510470,524000,0,638330,0,0,5,ICOOL Tô Ký,21/08/2017
48,279,60123900,57415755,1169200,0,1538945,0,700000,6,ICOOL Bình Phú,21/08/2017
51,238,53826900,52165220,836900,64450,760330,0,0,7,ICool D??ng Bá Tr?c,21/08/2017
78,481,81485600,78506420,1024600,0,1954580,69682.5,0,1,ICOOL Ung V?n Khiêm,22/08/2017
16,62,5391400,5154040,215000,22360,0,0,0,10,ICOOL Thành Thái,22/08/2017
9,18,1046600,1046600,0,0,0,0,0,11,ICool Nguy?n Trãi,22/08/2017
1,4,869200,825740,0,43460,0,0,0,12,ICool M?c ?inh Chi,22/08/2017
4,26,3518200,3400800,0,0,117400,0,0,2,AAPPLE Hoàng Vi?t,22/08/2017
30,134,22316400,21385600,308400,104080,518320,86402.5,0,4,ICOOL Xô Vi?t Ngh? T?nh,22/08/2017
27,122,23279000,21980185,613000,34840,650975,0,0,5,ICOOL Tô Ký,22/08/2017
30,173,30940100,29586880,370700,109190,873330,0,0,6,ICOOL Bình Phú,22/08/2017
33,195,36448800,35462070,354400,0,632330,0,0,7,ICool D??ng Bá Tr?c,22/08/2017
80,398,73679800,69318605,2026200,641600,1693395,444535,0,1,ICOOL Ung V?n Khiêm,23/08/2017
29,121,9471000,9185750,277400,0,7850,0,0,10,ICOOL Thành Thái,23/08/2017
7,14,2605800,2516850,0,88950,0,0,0,11,ICool Nguy?n Trãi,23/08/2017
5,44,9137400,8452320,0,685080,0,0,0,12,ICool M?c ?inh Chi,23/08/2017
14,71,10663800,10440360,0,0,223440,0,0,2,AAPPLE Hoàng Vi?t,23/08/2017
57,339,50777200,48773410,475300,830400,698090,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,23/08/2017
31,282,28276200,27233790,514100,0,528310,0,0,5,ICOOL Tô Ký,23/08/2017
45,284,57462000,54623030,830700,0,2008270,0,600000,6,ICOOL Bình Phú,23/08/2017
47,271,46391000,44926875,934600,49790,479735,0,0,7,ICool D??ng Bá Tr?c,23/08/2017
91,585,108286000,103298430,1672700,200825,3114045,461214.5,0,1,ICOOL Ung V?n Khiêm,24/08/2017
22,70,8239000,8127130,104000,0,7870,0,0,10,ICOOL Thành Thái,24/08/2017
7,15,4111200,3907800,0,203400,0,0,0,11,ICool Nguy?n Trãi,24/08/2017
5,35,4947200,4581830,0,365370,0,0,0,12,ICool M?c ?inh Chi,24/08/2017
11,42,5293400,5030010,202000,36950,24440,0,0,2,AAPPLE Hoàng Vi?t,24/08/2017
57,277,49688700,46492770,1561700,495410,1138820,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,24/08/2017
32,135,29234600,27737545,763500,0,733555,0,0,5,ICOOL Tô Ký,24/08/2017
53,340,59626700,56361950,1043100,0,2221650,0,50000,6,ICOOL Bình Phú,24/08/2017
43,247,47142400,45351025,1101800,0,689575,0,0,7,ICool D??ng Bá Tr?c,24/08/2017
94,555,113525200,103295165,2807900,3874340,3547795,361183.5,0,1,ICOOL Ung V?n Khiêm,25/08/2017
17,60,6897200,6803530,0,87000,6670,0,0,10,ICOOL Thành Thái,25/08/2017
9,29,3452800,3452800,0,0,0,0,0,11,ICool Nguy?n Trãi,25/08/2017
6,22,5173800,4827610,0,171190,175000,0,0,12,ICool M?c ?inh Chi,25/08/2017
22,82,15051900,14699115,89000,95865,167920,0,0,2,AAPPLE Hoàng Vi?t,25/08/2017
77,419,84615900,81887315,1279700,403260,1045625,206080,0,4,ICOOL Xô Vi?t Ngh? T?nh,25/08/2017
48,292,48901200,45808815,1430500,161000,1500885,70475,0,5,ICOOL Tô Ký,25/08/2017
60,381,81281800,77803980,1512900,251790,1713130,0,0,6,ICOOL Bình Phú,25/08/2017
47,351,73702300,71667545,1185100,0,849655,275740,0,7,ICool D??ng Bá Tr?c,25/08/2017
118,699,172018100,160082505,2955400,5682920,3297275,643750,0,1,ICOOL Ung V?n Khiêm,26/08/2017
32,127,13459800,13304800,0,155000,0,47890,0,10,ICOOL Thành Thái,26/08/2017
12,56,5650400,5650400,0,0,0,0,0,11,ICool Nguy?n Trãi,26/08/2017
4,19,3692300,3389860,0,302440,0,0,0,12,ICool M?c ?inh Chi,26/08/2017
8,47,6382600,6207090,0,175510,0,0,0,13,ICOOL Tran Binh Trong,26/08/2017
17,72,10455900,10302880,87000,66020,0,80675,0,2,AAPPLE Hoàng Vi?t,26/08/2017
83,522,110781500,105680270,1322100,1621430,2157700,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,26/08/2017
46,212,65486400,62233824,1755280,0,1497296,0,200000,5,ICOOL Tô Ký,26/08/2017
70,430,91852900,87314175,1999800,101200,2437725,0,0,6,ICOOL Bình Phú,26/08/2017
56,362,83755400,80695325,1590700,0,1469375,115200,0,7,ICool D??ng Bá Tr?c,26/08/2017
115,705,153516500,146714205,2504200,656230,3641865,0,0,1,ICOOL Ung V?n Khiêm,27/08/2017
29,125,10283400,10069780,0,213620,0,0,0,10,ICOOL Thành Thái,27/08/2017
14,39,4708400,4708400,0,0,0,0,0,11,ICool Nguy?n Trãi,27/08/2017
3,16,1843600,1843600,0,0,0,0,0,12,ICool M?c ?inh Chi,27/08/2017
11,60,9303600,9104000,0,199600,0,0,0,13,ICOOL Tran Binh Trong,27/08/2017
18,79,13076700,12552750,76000,208535,239415,0,0,2,AAPPLE Hoàng Vi?t,27/08/2017
84,463,95263100,91804795,782400,561010,2114895,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,27/08/2017
68,478,67982300,65346975,1436700,197300,1001325,57830,0,5,ICOOL Tô Ký,27/08/2017
78,566,108244500,104081845,1711000,306720,2144935,0,0,6,ICOOL Bình Phú,27/08/2017
49,319,68019600,66502435,710400,0,806765,0,0,7,ICool D??ng Bá Tr?c,27/08/2017
80,496,89295912,83106932,2060600,1711650,2416730,479550,100000,1,ICOOL Ung V?n Khiêm,28/08/2017
14,48,4975800,4904330,0,0,71470,0,0,10,ICOOL Thành Thái,28/08/2017
6,24,3425100,3373260,0,51840,0,0,0,11,ICool Nguy?n Trãi,28/08/2017
1,2,185800,185800,0,0,0,0,0,12,ICool M?c ?inh Chi,28/08/2017
4,22,4007900,4007900,0,0,0,0,0,13,ICOOL Tran Binh Trong,28/08/2017
9,29,4643300,4327435,210700,0,105165,0,0,2,AAPPLE Hoàng Vi?t,28/08/2017
57,298,58989700,56484445,527400,686475,1291380,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,28/08/2017
31,158,32949200,30953980,1166700,0,828520,0,100000,5,ICOOL Tô Ký,28/08/2017
46,234,45459800,41384285,1554000,1179000,1342515,0,0,6,ICOOL Bình Phú,28/08/2017
44,377,70359600,67765250,1132000,281950,1180400,56477.5,0,7,ICool D??ng Bá Tr?c,28/08/2017
74,396,78016200,71408600,1337600,3684000,1586000,57660,0,1,ICOOL Ung V?n Khiêm,29/08/2017
