name	id	date	cuahang_id	sum	total	mon	customer	bill	vat	phuphi	male	female	num_of_bill	complain	chiphi	goods	returns	customer_info	hour_per_bill	hours	tour	expense	room	profit	created_by	created_date	modified_by	modified_date	trangthai
ICOOL Ung V?n Khiêm	35360D09-544C-EB11-80FC-509A4C8C9FAC	01/01/2021	1	133260100	130995360	1601855	147515	515370	0	0	410	211	81	1	25600000.01	37121002.37	11424582	50	4	350	2.31	0	35	79698939.62	system	08:58.8	system	NULL	4
ICOOL Thành Thái	5B577AC1-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	10	77961600	75168090	1069480	151200	1572830	494838	0	217	155	59	6	20213348.39	15139187.4	12119435.05	30	0	1	2.11	0	28	52429827.26	system	06:58.7	system	NULL	4
ICOOL Nguy?n Trãi	DAB10568-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	11	41293000	39061845	1913300	66445	251410	0	0	85	120	34	2	6587311.84	18755490.95	10991668	6	4	160	2.13	0	16	24710710.21	system	04:28.6	system	NULL	4
ICOOL M?c ??nh Chi	CCC44144-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	12	67527800	66302700	1175630	49470	0	0	0	88	103	46	8	22741935.48	18301335.53	10700100.98	21	6	320	2.09	0	22	35959529.97	system	03:28.6	system	NULL	4
ICOOL Tr?n Bình Tr?ng	7CE246E5-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	13	51672400	50427370	493970	0	751060	0	30000	139	114	37	3	9345161.29	17554212.01	10590434	11	5.68	210	2.18	0	17	34148430.7	system	07:58.8	system	NULL	4
ICOOL Cách M?ng Tháng 8	6CF0D3EA-524C-EB11-80FC-509A4C8C9FAC	01/01/2021	14	101063300	99209555	938035	0	915710	450958	0	227	233	66	12	18661290.32	15571609.13	0	41	5	380	2.36	0	28	65427613.55	system	00:58.6	system	NULL	4
ICOOL C?u Ch? Y	FF64B3FC-524C-EB11-80FC-509A4C8C9FAC	01/01/2021	16	17070200	16926200	144000	0	0	0	0	43	42	13	0	4903225.8	7439548.94	0	1	8	110	0.93	0	14	4583425.26	system	01:28.6	system	NULL	4
ICOOL Nh? Thiên ???ng	8C75D28B-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	17	52968600	50977945	740985	0	1249670	225220	0	104	76	34	2	10135483.88	22354690.68	12942919.34	6	5	170	2.13	0	16	31655909.78	system	05:28.7	system	NULL	4
ICOOL Tr?n Não	F2A928F7-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	18	100009700	99163760	736640	0	109300	409005	0	255	266	65	6	16096774.2	41155343.3	20460891.93	33	4	320	3.25	0	20	62781539.43	system	08:28.8	system	NULL	4
ICOOL Nguy?n Tri Ph??ng	0A5FEF79-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	19	28670800	28236800	434000	0	0	0	0	77	76	30	6	8090241.93	10605451.4	6216633	3	4	140	1.88	0	16	15757739.67	system	04:58.7	system	NULL	4
ICOOL ??ng ?en	EFEA920E-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	22	87366900	85916355	957335	0	493210	223200	0	294	177	64	5	10775806.45	23008260.1	8546549.34	34	4	260	2.56	0	25	60902037.79	system	01:58.5	system	NULL	4
ICOOL Phan Chu Trinh	282CB69D-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	23	55260600	53957160	1031360	0	272080	0	200000	106	73	39	5	8152338.71	17897219.69	6709408	21	3	150	2.79	0	14	34817009.6	system	05:58.7	system	NULL	4
ICOOL Phan Xích Long	9CF497AF-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	24	100797900	98442270	892940	0	1462690	0	0	214	183	53	6	14032258.06	33062920.5	13325000	28	4	240	2.12	0	25	64672091.44	system	06:28.7	system	NULL	4
ICOOL Xô Vi?t Ngh? T?nh	DEFFD62C-544C-EB11-80FC-509A4C8C9FAC	01/01/2021	4	113549400	111163600	1850100	66060	469640	0	0	297	232	84	7	16209677.42	22131870.92	0	42	3	330	2.9	0	29	72822051.66	system	09:58.8	system	NULL	4
ICOOL Tô Ký	9C2160D3-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	5	57745000	56127989	785401	121920	709690	0	0	109	122	47	6	10919354.84	18423474.67	6216684	20	4	200	1.81	0	26	33001843.49	system	07:28.7	system	NULL	4
ICOOL Bình Phú	7F603ED9-524C-EB11-80FC-509A4C8C9FAC	01/01/2021	6	111814600	107955823	2911752	292275	654750	0	0	305	213	76	11	21487512.59	33651745.08	12857359	30	3	300	3.17	0	24	65673924.33	system	00:29.1	system	NULL	4
ICOOL D??ng Bá Tr?c	A2397920-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	7	117978600	115511500	1976270	126430	364400	0	0	205	177	71	1	18865550.09	34751523.69	13362635	23	4	320	3.09	0	23	75257061.22	system	02:28.6	system	NULL	4
ICOOL Nguy?n S?n	2C132556-534C-EB11-80FC-509A4C8C9FAC	01/01/2021	9	67731600	65692050	1633280	0	406270	0	0	190	143	51	5	8019064.51	21849004.07	6725712	48	3	200	3.64	0	14	42549693.42	system	03:58.6	system	NULL	4
